😀	विस्मयमानं मुखम्
👨🏾‍🌾	पुरुषः कृषकः मध्यम-कृष्णत्वक्-वर्णः
👨🏿‍🌾	पुरुषः कृषकः : कृष्णत्वक्वर्णः
👩‍🌾	स्त्री कृषिका
👩🏻‍🌾	स्त्री कृषिका: हल्के त्वचास्वरः
👩🏼‍🌾	स्त्री कृषिका : मध्यम-हल्का त्वचावर्णः
👩🏽‍🌾	स्त्री कृषकः मध्यमत्वक्वर्णः
👩🏾‍🌾	स्त्री कृषिका : मध्यम-कृष्णत्वक्-वर्णः
👩🏿‍🌾	स्त्री कृषिका: कृष्णत्वक्स्वरः
👨‍🍳	मनुष्यः पाकं करोति
👨🏻‍🍳	man cook: हल्के त्वचास्वरः
👨🏼‍🍳	man cook: मध्यम-लघु त्वचास्वरः
👨🏽‍🍳	man cook: मध्यमत्वक्स्वरः
👨🏾‍🍳	man cook: मध्यम-कृष्णत्वक्-वर्णः
👨🏿‍🍳	man cook: कृष्णत्वक्स्वरः
👩‍🍳	स्त्री पाकं करोति
👩🏻‍🍳	woman cook: हल्के त्वचास्वरः
👩🏼‍🍳	स्त्री पाककर्त्री : मध्यम-हल्के त्वचावर्णः
👩🏽‍🍳	स्त्री पाककर्त्री : मध्यमत्वक्स्वरः
👩🏾‍🍳	स्त्री पाककर्त्ता : मध्यम-कृष्णत्वक्-वर्णः
👩🏿‍🍳	woman cook: कृष्णत्वक्स्वरः
👨‍🔧	मनुष्य यान्त्रिकः
👨🏻‍🔧	man mechanic: हल्के त्वचास्वरः
👨🏼‍🔧	पुरुष यान्त्रिकः मध्यम-हल्का त्वचास्वरः
👨🏽‍🔧	पुरुष यान्त्रिकः मध्यम त्वचास्वरः
👨🏾‍🔧	पुरुष यान्त्रिकः मध्यम-कृष्णत्वक्-वर्णः
👨🏿‍🔧	man mechanic: कृष्णवर्णीयत्वक्स्वरः
👩‍🔧	स्त्री यान्त्रिकः
👩🏻‍🔧	woman mechanic: हल्के त्वचास्वरः
👩🏼‍🔧	महिला यान्त्रिकः मध्यम-हल्का त्वचास्वरः
👩🏽‍🔧	महिला यान्त्रिकः मध्यमत्वक्स्वरः
👩🏾‍🔧	महिला यान्त्रिकः मध्यम-कृष्णत्वक्-वर्णः
👩🏿‍🔧	woman mechanic: कृष्णवर्णीयत्वक्स्वरः
👨‍🏭	मनुष्यः कारखाने श्रमिकः
👨🏻‍🏭	man factory worker: हल्के त्वचास्वरः
👨🏼‍🏭	man factory worker: मध्यम-हल्का त्वचास्वरः
👨🏽‍🏭	पुरुषः कारखानाश्रमिकः मध्यमत्वक्स्वरः
👨🏾‍🏭	man factory worker: मध्यम-गहरे त्वचास्वरः
👨🏿‍🏭	man factory worker: कृष्णवर्णीयत्वक्स्वरः
👩‍🏭	महिला कारखाने श्रमिका
👩🏻‍🏭	महिला कारखानाश्रमिकः : हल्के त्वचास्वरः
👩🏼‍🏭	महिला कारखानाश्रमिकः मध्यम-हल्का त्वचास्वरः
👩🏽‍🏭	महिला कारखानाश्रमिकः मध्यमत्वक्स्वरः
👩🏾‍🏭	महिला कारखाने श्रमिका : मध्यम-गहरे त्वचा रंग
👩🏿‍🏭	महिला कारखानाश्रमिकः : कृष्णवर्णीयत्वक्वर्णः
👨‍💼	पुरुष कार्यालयकर्मी
👨🏻‍💼	man office worker: हल्के त्वचास्वरः
👨🏼‍💼	पुरुषः कार्यालयकार्यकर्ता : मध्यम-हल्का त्वचास्वरः
👨🏽‍💼	पुरुषः कार्यालयकर्मचारिणः मध्यमत्वक्स्वरः
👨🏾‍💼	man office worker: मध्यम-गहरे त्वचास्वरः
👨🏿‍💼	man office worker: गहरे त्वचा रंग
👩‍💼	महिला कार्यालयकर्मी
👩🏻‍💼	महिला कार्यालयकार्यकर्ता : हल्के त्वचास्वरः
👩🏼‍💼	महिला कार्यालयकर्मचारिणी : मध्यम-हल्का त्वचास्वरः
👩🏽‍💼	महिला कार्यालयकार्यकर्ता : मध्यम त्वचास्वरः
👩🏾‍💼	महिला कार्यालयकर्मचारिणः मध्यम-गहरे त्वचास्वरः
👩🏿‍💼	महिला कार्यालयकर्मचारिणी : गहरे त्वचास्वरः
👨‍🔬	मनुष्य वैज्ञानिक
👨🏻‍🔬	मनुष्य वैज्ञानिकः हल्के त्वचास्वरः
👨🏼‍🔬	मनुष्य वैज्ञानिकः मध्यम-हल्का त्वचास्वरः
👨🏽‍🔬	पुरुष वैज्ञानिकः मध्यम त्वचास्वरः
👨🏾‍🔬	man scientist: मध्यम-कृष्ण त्वचा रंग
👨🏿‍🔬	मनुष्य वैज्ञानिकः कृष्णवर्णीयत्वक्स्वरः
👩‍🔬	स्त्री वैज्ञानिक
👩🏻‍🔬	महिला वैज्ञानिकः हल्के त्वचास्वरः
👩🏼‍🔬	महिला वैज्ञानिकः मध्यम-हल्का त्वचास्वरः
👩🏽‍🔬	महिला वैज्ञानिकः मध्यम त्वचास्वरः
👩🏾‍🔬	महिला वैज्ञानिकः मध्यम-कृष्णत्वक्-वर्णः
👩🏿‍🔬	महिला वैज्ञानिकः कृष्णवर्णीयत्वक्वर्णः
👨‍💻	मनुष्य प्रौद्योगिकीविद
👨🏻‍💻	man technologist: हल्के त्वचा रंग
👨🏼‍💻	man technologist: मध्यम-हल्का त्वचास्वरः
👨🏽‍💻	man technologist: मध्यम त्वचा रंग
👨🏾‍💻	man technologist: मध्यम-गहरे त्वचा रंग
👨🏿‍💻	man technologist: गहरे त्वचा रंग
👩‍💻	महिला प्रौद्योगिकीविद
👩🏻‍💻	महिला प्रौद्योगिकीविदः हल्के त्वचास्वरः
👩🏼‍💻	महिला प्रौद्योगिकीविदः मध्यम-हल्का त्वचास्वरः
👩🏽‍💻	महिला प्रौद्योगिकीविदः मध्यम त्वचास्वरः
👩🏾‍💻	महिला प्रौद्योगिकीविदः मध्यम-गहरे त्वचास्वरः
👩🏿‍💻	महिला प्रौद्योगिकीविदः कृष्णवर्णीयत्वक्स्वरः
👨‍🎤	मनुष्य गायक
👨🏻‍🎤	man singer: हल्के त्वचास्वरः
👨🏼‍🎤	पुरुष गायकः मध्यम-हल्का त्वचास्वरः
👨🏽‍🎤	पुरुष गायकः मध्यमत्वक्स्वरः
👨🏾‍🎤	man singer: मध्यम-कृष्णत्वक्स्वरः
👨🏿‍🎤	man singer: कृष्णत्वक्स्वरः
👩‍🎤	स्त्री गायिका
👩🏻‍🎤	महिला गायिका: हल्के त्वचास्वरः
👩🏼‍🎤	महिला गायिका : मध्यम-हल्के त्वचास्वर
👩🏽‍🎤	महिला गायिका : मध्यम त्वचास्वरः
👩🏾‍🎤	महिला गायिका : मध्यम-कृष्णत्वक्-वर्णः
👩🏿‍🎤	महिला गायिका: कृष्णत्वक्स्वरः
👨‍🎨	मनुष्य कलाकार
👨🏻‍🎨	मनुष्य कलाकारः हल्के त्वचास्वरः
👨🏼‍🎨	पुरुष कलाकारः मध्यम-हल्का त्वचास्वरः
👨🏽‍🎨	पुरुष कलाकारः मध्यमत्वक्स्वरः
👨🏾‍🎨	पुरुष कलाकारः मध्यम-कृष्णत्वक्स्वरः
👨🏿‍🎨	पुरुष कलाकारः कृष्णत्वक्स्वरः
👩‍🎨	स्त्री कलाकार
👩🏻‍🎨	महिला कलाकारः हल्के त्वचास्वरः
👩🏼‍🎨	महिला कलाकारः मध्यम-हल्का त्वचास्वरः
👩🏽‍🎨	महिला कलाकारः मध्यमत्वक्स्वरः
👩🏾‍🎨	महिला कलाकारः मध्यम-कृष्णत्वक्स्वरः
👩🏿‍🎨	महिला कलाकारः कृष्णत्वक्स्वरः
👨‍✈️	man pilot
👨‍✈	man pilot
👨🏻‍✈️	man pilot: हल्के त्वचास्वरः
👨🏻‍✈	man pilot: हल्के त्वचास्वरः
👨🏼‍✈️	man pilot: मध्यम-हल्के त्वचास्वरः
👨🏼‍✈	man pilot: मध्यम-हल्के त्वचास्वरः
👨🏽‍✈️	man pilot: मध्यम त्वचास्वरः
👨🏽‍✈	man pilot: मध्यम त्वचास्वरः
👨🏾‍✈️	man pilot: मध्यम-कृष्णत्वक्स्वरः
👨🏾‍✈	man pilot: मध्यम-कृष्णत्वक्स्वरः
👨🏿‍✈️	man pilot: कृष्णवर्णीयत्वक्स्वरः
👨🏿‍✈	man pilot: कृष्णवर्णीयत्वक्स्वरः
👩‍✈️	महिला पायलट्
👩‍✈	महिला पायलट्
👩🏻‍✈️	woman pilot: हल्के त्वचास्वरः
👩🏻‍✈	woman pilot: हल्के त्वचास्वरः
👩🏼‍✈️	महिला पायलटः मध्यम-हल्का त्वचास्वरः
👩🏼‍✈	महिला पायलटः मध्यम-हल्का त्वचास्वरः
👩🏽‍✈️	महिला पायलटः मध्यमत्वक्स्वरः
👩🏽‍✈	महिला पायलटः मध्यमत्वक्स्वरः
👩🏾‍✈️	woman pilot: मध्यम-कृष्णत्वक्स्वरः
👩🏾‍✈	woman pilot: मध्यम-कृष्णत्वक्स्वरः
👩🏿‍✈️	woman pilot: कृष्णत्वक्स्वरः
👩🏿‍✈	woman pilot: कृष्णत्वक्स्वरः
👨‍🚀	मनुष्य अन्तरिक्षयात्री
👨🏻‍🚀	मनुष्यः अन्तरिक्षयात्री: हल्के त्वचास्वरः
👨🏼‍🚀	मनुष्यः अन्तरिक्षयात्री : मध्यम-हल्का त्वचास्वरः
👨🏽‍🚀	मनुष्यः अन्तरिक्षयात्री : मध्यम त्वचास्वरः
👨🏾‍🚀	मनुष्यः अन्तरिक्षयात्री : मध्यम-कृष्णत्वक्-स्वरः
👨🏿‍🚀	मनुष्यः अन्तरिक्षयात्री: कृष्णत्वक्स्वरः
👩‍🚀	महिला अन्तरिक्षयात्री
👩🏻‍🚀	महिला अन्तरिक्षयात्री : हल्के त्वचास्वर
👩🏼‍🚀	महिला अन्तरिक्षयात्री : मध्यम-हल्के त्वचास्वर
👩🏽‍🚀	महिला अन्तरिक्षयात्री : मध्यम त्वचा रंग
👩🏾‍🚀	महिला अन्तरिक्षयात्री : मध्यम-कृष्णत्वक्स्वरः
👩🏿‍🚀	महिला अन्तरिक्षयात्री : श्यामत्वक्स्वरः
👨‍🚒	मनुष्य अग्निशामकः
👨🏻‍🚒	man firefighter: हल्के त्वचास्वरः
👨🏼‍🚒	man firefighter: मध्यम-हल्का त्वचास्वरः
👨🏽‍🚒	पुरुष अग्निशामकः मध्यमत्वक्स्वरः
👨🏾‍🚒	man firefighter: मध्यम-कृष्णत्वक्स्वरः
👨🏿‍🚒	man firefighter: कृष्णत्वक्स्वरः
👩‍🚒	स्त्री अग्निशामक
👩🏻‍🚒	महिला अग्निशामकः : हल्के त्वचास्वरः
👩🏼‍🚒	महिला अग्निशामकः मध्यम-हल्का त्वचास्वरः
👩🏽‍🚒	महिला अग्निशामकः मध्यमत्वक्स्वरः
👩🏾‍🚒	महिला अग्निशामकः मध्यम-कृष्णत्वक्स्वरः
👩🏿‍🚒	महिला अग्निशामकः : कृष्णत्वक्स्वरः
👮	पुलिस अधिकारी
👮🏻	पुलिस अधिकारी : हल्के त्वचास्वर
👮🏼	पुलिस अधिकारी : मध्यम-हल्का त्वचास्वर
👮🏽	पुलिस अधिकारी : मध्यम त्वचा रंग
👮🏾	पुलिस अधिकारी : मध्यम-गहरे त्वचा रंग
👮🏿	पुलिस अधिकारी : गहरे त्वचा रंग
👮‍♂️	पुरुष पुलिस अधिकारी
👮‍♂	पुरुष पुलिस अधिकारी
👮🏻‍♂️	पुरुषः पुलिस अधिकारी : हल्के त्वचास्वरः
👮🏻‍♂	पुरुषः पुलिस अधिकारी : हल्के त्वचास्वरः
👮🏼‍♂️	पुरुषः पुलिस अधिकारी : मध्यम-हल्का त्वचास्वरः
👮🏼‍♂	पुरुषः पुलिस अधिकारी : मध्यम-हल्का त्वचास्वरः
👮🏽‍♂️	पुरुषः पुलिस अधिकारी : मध्यम त्वचास्वरः
👮🏽‍♂	पुरुषः पुलिस अधिकारी : मध्यम त्वचास्वरः
👮🏾‍♂️	पुरुषः पुलिस अधिकारी : मध्यम-गहरे त्वचास्वरः
👮🏾‍♂	पुरुषः पुलिस अधिकारी : मध्यम-गहरे त्वचास्वरः
👮🏿‍♂️	man police officer: गहरे त्वचा रंग
👮🏿‍♂	man police officer: गहरे त्वचा रंग
👮‍♀️	महिला पुलिस अधिकारी
👮‍♀	महिला पुलिस अधिकारी
👮🏻‍♀️	महिला पुलिस अधिकारी : हल्के त्वचा के रंग
👮🏻‍♀	महिला पुलिस अधिकारी : हल्के त्वचा के रंग
👮🏼‍♀️	महिला पुलिस अधिकारी : मध्यम-हल्का त्वचा रंग
👮🏼‍♀	महिला पुलिस अधिकारी : मध्यम-हल्का त्वचा रंग
👮🏽‍♀️	महिला पुलिस अधिकारी : मध्यम त्वचा रंग
👮🏽‍♀	महिला पुलिस अधिकारी : मध्यम त्वचा रंग
👮🏾‍♀️	महिला पुलिस अधिकारी : मध्यम-गहरे त्वचा रंग
👮🏾‍♀	महिला पुलिस अधिकारी : मध्यम-गहरे त्वचा रंग
👮🏿‍♀️	महिला पुलिस अधिकारी : गहरे त्वचा रंग
👮🏿‍♀	महिला पुलिस अधिकारी : गहरे त्वचा रंग
🕵️	जासूस
🕵	जासूस
🕵🏻	जासूसः हल्के त्वचास्वरः
🕵🏼	जासूसः मध्यम-हल्का त्वचास्वरः
🕵🏽	जासूसः मध्यमत्वक्स्वरः
🕵🏾	जासूसः मध्यम-गहरे त्वचास्वरः
🕵🏿	जासूसः कृष्णत्वक्स्वरः
🕵️‍♂️	पुरुष जासूस
🕵‍♂️	पुरुष जासूस
🕵️‍♂	पुरुष जासूस
🕵‍♂	पुरुष जासूस
🕵🏻‍♂️	पुरुष जासूसः हल्के त्वचास्वरः
🕵🏻‍♂	पुरुष जासूसः हल्के त्वचास्वरः
🕵🏼‍♂️	पुरुष जासूसः मध्यम-हल्का त्वचास्वरः
🕵🏼‍♂	पुरुष जासूसः मध्यम-हल्का त्वचास्वरः
🕵🏽‍♂️	पुरुष जासूसः मध्यम त्वचास्वरः
