😀	ꯒ꯭ꯔꯤꯅꯤꯡ ꯐꯦꯁ꯫
😰	ꯁ꯭ꯕꯔ ꯍꯣꯅꯕꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯋꯥꯈꯜ ꯅꯨꯡꯉꯥꯏꯇꯕꯥ ꯃꯐꯝ꯫
😱	ꯑꯀꯤꯕꯥ ꯄꯣꯀꯄꯗꯒꯤ ꯂꯥꯎꯔꯀꯄꯥ ꯃꯥꯌꯊꯣꯡ꯫
🥵	ꯍꯣꯠ ꯐꯦꯁ꯫
🥶	ꯀꯣꯜꯗ ꯐꯦꯁ꯫
😳	ꯐ꯭ꯂꯁ ꯇꯧꯔꯕꯥ ꯃꯐꯝ꯫
🤪	zany face
😵	ꯗꯤꯖꯤꯖ ꯐꯦꯁ꯫
😡	ꯄꯥꯎꯇꯤꯡ ꯐꯦꯁ꯫
😠	ꯑꯁꯥꯑꯣꯕꯥ ꯃꯥꯌꯊꯣꯡ꯫
🤬	ꯃꯤꯠꯌꯦꯡꯗꯥ ꯁꯤꯝꯕꯣꯂꯁꯤꯡ ꯌꯥꯑꯣꯕꯥ ꯃꯐꯝ꯫
😷	ꯃꯦꯗꯤꯀꯦꯜ ꯃꯥꯁ꯭ꯛ ꯌꯥꯑꯣꯕꯥ ꯃꯐꯝ꯫
🤒	ꯊꯥꯔꯃꯣꯃꯤꯇꯔꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯥꯌꯊꯣꯡ꯫
🤕	ꯍꯦꯗ-ꯕꯦꯟꯗꯦꯖꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯥꯌꯊꯣꯡ꯫
🤢	ꯅꯣꯡꯃꯩ ꯀꯥꯞꯄꯥ ꯃꯐꯝ꯫
🤮	ꯐꯦꯁ ꯚꯣꯃꯤꯇꯤꯡ ꯇꯧꯕꯥ꯫
🤧	ꯍꯨꯔꯥꯅꯕꯥ ꯃꯐꯝ꯫
😇	ꯍꯥꯂꯣꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯐꯝ꯫
🤠	ꯀꯥꯎꯕꯣꯏ ꯍꯦꯠ ꯐꯦꯁ꯫
🥳	ꯄꯥꯔꯇꯤ ꯇꯧꯕꯒꯤ ꯃꯐꯝ꯫
🥴	ꯋꯨꯖꯤ ꯐꯦꯁ꯫
🥺	ꯄ꯭ꯂꯤꯗꯤꯡ ꯐꯦꯁ꯫
🤥	ꯂꯦꯡꯗꯅꯥ ꯂꯩꯕꯥ ꯃꯐꯝ꯫
🤫	ꯁꯨꯁꯤꯡ ꯐꯦꯁ꯫
🤭	ꯃꯥꯌꯒꯤ ꯃꯊꯛꯇꯥ ꯈꯨꯠꯅꯥ ꯁꯥꯕꯥ꯫
🧐	ꯃꯣꯅꯣꯀꯂꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯥꯌꯊꯣꯡ꯫
🤓	ꯅꯦꯔꯗ ꯐꯦꯁ꯫
😈	ꯁꯉ꯭ꯒꯣꯃꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯐꯝ꯫
👿	ꯁꯉ꯭ꯒꯣꯝ ꯌꯥꯑꯣꯕꯥ ꯑꯁꯥꯑꯣꯕꯥ ꯃꯐꯝ꯫
🤡	ꯀ꯭ꯂꯥꯎꯟ ꯐꯦꯁ꯫
👹	ꯑꯣꯒ꯭ꯔꯦ꯫
👺	ꯒꯣꯕꯂꯤꯟ ꯍꯥꯌꯅꯥ ꯈꯉꯅꯕꯥ꯫
💀	ꯁ꯭ꯀꯨꯜ꯫
☠️	ꯁ꯭ꯀꯨꯜ ꯑꯃꯁꯨꯡ ꯀ꯭ꯔꯣꯁꯕꯣꯅꯁꯤꯡ꯫
☠	ꯁ꯭ꯀꯨꯜ ꯑꯃꯁꯨꯡ ꯀ꯭ꯔꯣꯁꯕꯣꯅꯁꯤꯡ꯫
👻	ꯚꯨꯠ
👽	ꯑꯦꯂꯤꯌꯟ ꯑꯣꯏꯕꯥ꯫
👾	ꯑꯦꯂꯤꯌꯟ ꯃꯅꯁ꯭ꯇꯔ꯫
🤖	ꯔꯣꯕꯣꯠ ꯐꯦꯁ꯫
💩	ꯄꯨꯒꯤ ꯊꯥꯎꯃꯩ꯫
😺	ꯒ꯭ꯔꯤꯅꯤꯡ ꯀꯦꯠ ꯐꯦꯁ꯫
😸	ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯃꯤꯠꯌꯦꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯟꯗꯨꯅꯥ ꯂꯩꯕꯥ ꯀꯦꯠ ꯐꯦꯁ꯫
😹	ꯍꯔꯥꯑꯣꯕꯒꯤ ꯃꯤꯠꯀꯨꯄꯁꯤꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯀꯦꯠ ꯐꯦꯁ꯫
😻	ꯊꯝꯃꯣꯌꯒꯤ ꯃꯤꯠꯌꯦꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ ꯀꯦꯠ ꯐꯦꯁ꯫
😼	ꯋꯥꯈꯜ ꯋꯥꯕꯥ ꯃꯤꯠꯌꯦꯡꯒꯥ ꯂꯣꯌꯅꯅꯥ ꯀꯦꯠ ꯐꯦꯁ꯫
😽	ꯀꯤꯁꯤꯡ ꯀꯦꯠ ꯐꯦꯁ꯫
🙀	ꯋꯥꯈꯜ ꯋꯥꯕꯥ ꯀꯦꯠ ꯐꯦꯁ꯫
😿	ꯀꯞꯄꯥ ꯀꯦꯠ ꯐꯦꯁ꯫
😾	ꯄꯥꯎꯇꯤꯡ ꯀꯦꯠ ꯐꯦꯁ꯫
🙈	ꯁꯤ-ꯅꯣ-ꯏꯚꯤꯜ ꯃꯅꯀꯤ꯫
🙉	ꯇꯥꯕꯥ-ꯅꯣ-ꯐꯠꯇꯕꯥ ꯉꯥ꯫
🙊	ꯋꯥ ꯉꯥꯡꯕꯥ-ꯅꯣ-ꯐꯠꯇꯕꯥ ꯃꯅꯀꯤ꯫
🏻	ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏼	ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏽	ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏾	ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🏿	ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👶	ꯑꯉꯥꯡ ꯃꯆꯥ
👶🏻	ꯑꯉꯥꯡ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👶🏼	ꯑꯉꯥꯡ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👶🏽	ꯑꯉꯥꯡ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
👶🏾	ꯑꯉꯥꯡ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👶🏿	ꯑꯉꯥꯡ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧒	ꯑꯉꯥꯡ
🧒🏻	ꯑꯉꯥꯡ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧒🏼	ꯑꯉꯥꯡ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧒🏽	ꯑꯉꯥꯡ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧒🏾	ꯑꯉꯥꯡ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧒🏿	ꯑꯉꯥꯡ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👦	ꯅꯨꯄꯥꯃꯆꯥ
👦🏻	ꯅꯨꯄꯥꯃꯆꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👦🏼	ꯅꯨꯄꯥꯃꯆꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👦🏽	ꯅꯨꯄꯥꯃꯆꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👦🏾	ꯅꯨꯄꯥꯃꯆꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👦🏿	ꯅꯨꯄꯥꯃꯆꯥ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👧	ꯅꯨꯄꯤꯃꯆꯥ
👧🏻	ꯅꯨꯄꯤꯃꯆꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👧🏼	ꯅꯨꯄꯤꯃꯆꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👧🏽	ꯅꯨꯄꯤꯃꯆꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👧🏾	ꯅꯨꯄꯤꯃꯆꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👧🏿	ꯅꯨꯄꯤꯃꯆꯥ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧑	ꯑꯦꯗꯜꯇ ꯑꯣꯏꯕꯥ꯫
🧑🏻	ꯑꯦꯗꯜꯇ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧑🏼	ꯑꯦꯗꯜꯇ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧑🏽	ꯑꯦꯗꯜꯇ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧑🏾	ꯑꯦꯗꯜꯇ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧑🏿	ꯑꯦꯗꯜꯇ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨	ꯅꯨꯄꯥ
👨🏻	ꯃꯤꯑꯣꯏꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏼	ꯃꯤꯑꯣꯏꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏽	ꯃꯤꯑꯣꯏꯕꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏾	ꯃꯤꯑꯣꯏꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏿	ꯃꯤꯑꯣꯏꯕꯥ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩	ꯅꯨꯄꯤ
👩🏻	ꯅꯨꯄꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏼	ꯅꯨꯄꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏽	ꯅꯨꯄꯤ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
👩🏾	ꯅꯨꯄꯤ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👩🏿	ꯅꯨꯄꯤ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧓	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡ꯫
🧓🏻	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧓🏼	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡ: ꯃꯤꯗꯤꯌꯥꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧓🏽	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡ: ꯃꯤꯗꯤꯌꯥꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧓🏾	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡ: ꯃꯤꯗꯤꯌꯥꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧓🏿	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏꯁꯤꯡ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👴	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏ꯫
👴🏻	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👴🏼	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👴🏽	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👴🏾	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👴🏿	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯃꯤꯑꯣꯏ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👵	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯅꯨꯄꯤ꯫
👵🏻	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯅꯨꯄꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👵🏼	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯅꯨꯄꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👵🏽	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯅꯨꯄꯤ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
👵🏾	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯅꯨꯄꯤ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👵🏿	ꯑꯍꯜ ꯑꯣꯏꯔꯕꯥ ꯅꯨꯄꯤ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
👨‍⚕️	ꯃꯤꯑꯣꯏ ꯍꯀꯁꯦꯂꯒꯤ ꯊꯧꯃꯤ꯫
👨‍⚕	ꯃꯤꯑꯣꯏ ꯍꯀꯁꯦꯂꯒꯤ ꯊꯧꯃꯤ꯫
👨🏻‍⚕️	ꯅꯨꯄꯥꯒꯤ ꯍꯀꯁꯦꯂꯒꯤ ꯊꯧꯃꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏻‍⚕	ꯅꯨꯄꯥꯒꯤ ꯍꯀꯁꯦꯂꯒꯤ ꯊꯧꯃꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏼‍⚕️	ꯅꯨꯄꯥꯒꯤ ꯍꯀꯁꯦꯂꯒꯤ ꯊꯧꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏼‍⚕	ꯅꯨꯄꯥꯒꯤ ꯍꯀꯁꯦꯂꯒꯤ ꯊꯧꯃꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
👨🏽‍⚕️	ꯅꯨꯄꯥꯒꯤ ꯍꯀꯁꯦꯂꯒꯤ ꯊꯧꯃꯤ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
