😀	aghaidh grinning
👨🏽‍⚕️	oibrí sláinte fear: ton craiceann meánach
👨🏽‍⚕	oibrí sláinte fear: ton craiceann meánach
👨🏾‍⚕️	oibrí sláinte fear: ton craiceann meán-dorcha
👨🏾‍⚕	oibrí sláinte fear: ton craiceann meán-dorcha
👨🏿‍⚕️	oibrí sláinte fear: ton dorcha craicinn
👨🏿‍⚕	oibrí sláinte fear: ton dorcha craicinn
👩‍⚕️	oibrí sláinte mná
👩‍⚕	oibrí sláinte mná
👩🏻‍⚕️	oibrí sláinte mná: ton craicinn éadrom
👩🏻‍⚕	oibrí sláinte mná: ton craicinn éadrom
👩🏼‍⚕️	oibrí sláinte mná: ton craiceann meánach
👩🏼‍⚕	oibrí sláinte mná: ton craiceann meánach
👩🏽‍⚕️	oibrí sláinte mná: ton craiceann meánach
👩🏽‍⚕	oibrí sláinte mná: ton craiceann meánach
👩🏾‍⚕️	oibrí sláinte mná: ton craiceann meán-dorcha
👩🏾‍⚕	oibrí sláinte mná: ton craiceann meán-dorcha
👩🏿‍⚕️	oibrí sláinte mná: ton dorcha craicinn
👩🏿‍⚕	oibrí sláinte mná: ton dorcha craicinn
👨‍🎓	mac léinn fear
👨🏻‍🎓	mac léinn fear: ton craicinn éadrom
👨🏼‍🎓	fear léinn: ton craiceann meánach
👨🏽‍🎓	fear léinn: ton craiceann meánach
👨🏾‍🎓	mac léinn fear: ton craiceann meán-dorcha
👨🏿‍🎓	mac léinn fear: ton dorcha craicinn
👩‍🎓	bean dhalta
👩🏻‍🎓	bean léinn: ton craicinn éadrom
👩🏼‍🎓	bean léinn: ton craiceann meánach
👩🏽‍🎓	bean léinn: ton craiceann meánach
👩🏾‍🎓	bean léinn: ton craiceann meán-dorcha
👩🏿‍🎓	bean léinn: ton dorcha craicinn
👨‍🏫	fear múinteoir
👨🏻‍🏫	fear múinteoir: ton craicinn éadrom
👨🏼‍🏫	fear múinteoir: ton craiceann meánach
👨🏽‍🏫	fear múinteoir: ton craiceann meánach
👨🏾‍🏫	fear múinteoir: ton craiceann meán-dorcha
👨🏿‍🏫	fear múinteoir: ton dorcha craicinn
👩‍🏫	múinteoir bean
👩🏻‍🏫	bean-mhúinteora: ton craicinn éadrom
👩🏼‍🏫	bean-mhúinteoir: ton craiceann meánach
👩🏽‍🏫	bean-mhúinteora: ton craiceann meánach
👩🏾‍🏫	bean-mhúinteora: ton craiceann meán-dorcha
👩🏿‍🏫	bean múinteoir: ton dorcha craicinn
👨‍⚖️	breitheamh fear
👨‍⚖	breitheamh fear
👨🏻‍⚖️	fear breitheamh: ton craicinn éadrom
👨🏻‍⚖	fear breitheamh: ton craicinn éadrom
👨🏼‍⚖️	fear breitheamh: ton craiceann meánach
👨🏼‍⚖	fear breitheamh: ton craiceann meánach
👨🏽‍⚖️	breitheamh fear: ton craiceann meánach
👨🏽‍⚖	breitheamh fear: ton craiceann meánach
👨🏾‍⚖️	breitheamh fear: ton craiceann meán-dorcha
👨🏾‍⚖	breitheamh fear: ton craiceann meán-dorcha
👨🏿‍⚖️	breitheamh fear: ton dorcha craicinn
👨🏿‍⚖	breitheamh fear: ton dorcha craicinn
👩‍⚖️	breitheamh bean
👩‍⚖	breitheamh bean
👩🏻‍⚖️	bean breitheamh: ton craicinn éadrom
👩🏻‍⚖	bean breitheamh: ton craicinn éadrom
👩🏼‍⚖️	bean breitheamh: ton craiceann meánach
👩🏼‍⚖	bean breitheamh: ton craiceann meánach
👩🏽‍⚖️	bean breitheamh: ton craiceann meánach
👩🏽‍⚖	bean breitheamh: ton craiceann meánach
👩🏾‍⚖️	breitheamh bean: ton craiceann meán-dorcha
👩🏾‍⚖	breitheamh bean: ton craiceann meán-dorcha
👩🏿‍⚖️	breitheamh bean: ton dorcha craicinn
👩🏿‍⚖	breitheamh bean: ton dorcha craicinn
👨‍🌾	feirmeoir fear
👨🏻‍🌾	feirmeoir fear: ton craicinn éadrom
👨🏼‍🌾	feirmeoir fear: ton craiceann meánach
👨🏽‍🌾	feirmeoir fear: ton craiceann meánach
👨🏾‍🌾	feirmeoir fear: ton craiceann meán-dorcha
👨🏿‍🌾	feirmeoir fear: ton dorcha craicinn
👩‍🌾	bean fheirmeoir
👩🏻‍🌾	bean fheirmeoir: ton craicinn éadrom
👩🏼‍🌾	feirmeoir bean: ton craiceann meánach
👩🏽‍🌾	feirmeoir bean: ton craiceann meánach
👩🏾‍🌾	feirmeoir bean: ton craiceann meán-dorcha
👩🏿‍🌾	feirmeoir bean: ton dorcha craicinn
👨‍🍳	fear cócaire
👨🏻‍🍳	fear cócaire: ton craicinn éadrom
👨🏼‍🍳	fear cócaire: ton craiceann meánach
👨🏽‍🍳	fear cócaire: ton craiceann meánach
👨🏾‍🍳	fear cócaire: ton craiceann meán-dorcha
👨🏿‍🍳	fear cócaireacht: ton dorcha craicinn
👩‍🍳	bean cócaire
👩🏻‍🍳	bean cócaire: ton craicinn éadrom
👩🏼‍🍳	bean cócaire: ton craiceann meánach
👩🏽‍🍳	bean cócaire: ton craiceann meánach
👩🏾‍🍳	bean cócaire: ton craiceann meán-dorcha
👩🏿‍🍳	bean cócaire: ton dorcha craicinn
👨‍🔧	meicneoir fear
👨🏻‍🔧	meicneoir fear: ton craicinn éadrom
👨🏼‍🔧	meicneoir fear: ton craiceann meánach
👨🏽‍🔧	meicneoir fear: ton craiceann meánach
👨🏾‍🔧	meicneoir fear: ton craiceann meán-dorcha
👨🏿‍🔧	meicneoir fear: ton dorcha craicinn
👩‍🔧	meicneoir bean
👩🏻‍🔧	bean mheicneoir: ton craicinn éadrom
👩🏼‍🔧	meicneoir bean: ton craiceann meánach
👩🏽‍🔧	meicneoir bean: ton craiceann meánach
👩🏾‍🔧	meicneoir bean: ton craiceann meán-dorcha
👩🏿‍🔧	bean mheicneoir: ton dorcha craicinn
👨‍🏭	oibrí monarchan fear
👨🏻‍🏭	oibrí monarchan fear: ton craicinn éadrom
👨🏼‍🏭	oibrí monarchan fear: ton craiceann meánach
👨🏽‍🏭	oibrí monarchan fear: ton craiceann meánach
👨🏾‍🏭	oibrí monarchan fear: ton craiceann meán-dorcha
👨🏿‍🏭	oibrí monarchan fear: ton dorcha craicinn
👩‍🏭	bean oibrí monarchan
👩🏻‍🏭	bean oibrí monarchan: ton craicinn éadrom
👩🏼‍🏭	oibrí monarchan bean: ton craiceann meánach
👩🏽‍🏭	oibrí monarchan bean: ton craiceann meánach
👩🏾‍🏭	bean oibrí monarchan: ton craiceann meán-dorcha
👩🏿‍🏭	bean oibrí monarchan: ton dorcha craicinn
👨‍💼	oibrí oifige fear
👨🏻‍💼	oibrí oifige fear: ton craicinn éadrom
👨🏼‍💼	oibrí oifige fear: ton craiceann meánach
👨🏽‍💼	oibrí oifige fear: ton craiceann meánach
👨🏾‍💼	oibrí oifige fear: ton craiceann meán-dorcha
👨🏿‍💼	oibrí oifige fear: ton dorcha craicinn
👩‍💼	bean oibrí oifige
👩🏻‍💼	bean oibrí oifige: ton craicinn éadrom
👩🏼‍💼	oibrí oifige bean: ton craiceann meánach
👩🏽‍💼	bean oibrí oifige: ton craiceann meánach
👩🏾‍💼	bean oibrí oifige: ton craiceann meán-dorcha
👩🏿‍💼	bean oibrí oifige: ton dorcha craicinn
👨‍🔬	eolaí fear
👨🏻‍🔬	eolaí fear: ton craicinn éadrom
👨🏼‍🔬	eolaí fear: ton craiceann meánach
👨🏽‍🔬	eolaí fear: ton craiceann meánach
👨🏾‍🔬	eolaí fear: ton craiceann meán-dorcha
👨🏿‍🔬	eolaí fear: ton dorcha craicinn
👩‍🔬	eolaí bean
👩🏻‍🔬	eolaí bean: ton craicinn éadrom
👩🏼‍🔬	eolaí bean: ton craiceann meánach
👩🏽‍🔬	eolaí bean: ton craiceann meánach
👩🏾‍🔬	eolaí bean: ton craiceann meán-dorcha
👩🏿‍🔬	eolaí bean: ton dorcha craicinn
👨‍💻	teicneolaí fear
👨🏻‍💻	teicneolaí fear: ton craicinn éadrom
👨🏼‍💻	teicneolaí fear: ton craiceann meánach
👨🏽‍💻	teicneolaí fear: ton craiceann meánach
👨🏾‍💻	teicneolaí fear: ton craiceann meán-dorcha
👨🏿‍💻	teicneolaí fear: ton dorcha craicinn
👩‍💻	teicneolaí bean
👩🏻‍💻	teicneolaí bean: ton craicinn éadrom
👩🏼‍💻	teicneolaí bean: ton craiceann meánach
👩🏽‍💻	teicneolaí bean: ton craiceann meánach
👩🏾‍💻	teicneolaí bean: ton craiceann meán-dorcha
👩🏿‍💻	teicneolaí bean: ton dorcha craicinn
👨‍🎤	amhránaí fear
👨🏻‍🎤	fear amhránaí: ton craicinn éadrom
👨🏼‍🎤	fear amhránaí: ton craiceann meánach
👨🏽‍🎤	fear amhránaí: ton craiceann meánach
👨🏾‍🎤	fear amhránaí: ton craiceann meán-dorcha
👨🏿‍🎤	fear amhránaí: ton dorcha craicinn
👩‍🎤	bean amhránaí
👩🏻‍🎤	bean amhránaí: ton craicinn éadrom
👩🏼‍🎤	ban-amhránaí: ton craiceann meánach
👩🏽‍🎤	bean amhránaí: ton craiceann meánach
👩🏾‍🎤	bean amhránaí: ton craiceann meán-dorcha
👩🏿‍🎤	bean amhránaí: ton dorcha craicinn
👨‍🎨	ealaíontóir fear
👨🏻‍🎨	ealaíontóir fear: ton craiceann éadrom
👨🏼‍🎨	ealaíontóir fear: ton craiceann meánach
👨🏽‍🎨	ealaíontóir fear: ton craiceann meánach
👨🏾‍🎨	ealaíontóir fear: ton craiceann meán-dorcha
👨🏿‍🎨	ealaíontóir fear: ton dorcha craicinn
👩‍🎨	ealaíontóir mná
👩🏻‍🎨	ealaíontóir bean: ton craiceann éadrom
👩🏼‍🎨	ealaíontóir mná: ton craiceann meánach
👩🏽‍🎨	ealaíontóir mná: ton craiceann meánach
👩🏾‍🎨	ealaíontóir mná: ton craiceann meán-dorcha
👩🏿‍🎨	bean-ealaíontóir: ton dorcha craicinn
👨‍✈️	píolótach fear
👨‍✈	píolótach fear
👨🏻‍✈️	píolótach fear: ton craiceann éadrom
👨🏻‍✈	píolótach fear: ton craiceann éadrom
👨🏼‍✈️	píolótach fear: ton craiceann meánach
👨🏼‍✈	píolótach fear: ton craiceann meánach
👨🏽‍✈️	píolótach fear: ton craiceann meánach
👨🏽‍✈	píolótach fear: ton craiceann meánach
👨🏾‍✈️	píolótach fear: ton craiceann meán-dorcha
👨🏾‍✈	píolótach fear: ton craiceann meán-dorcha
👨🏿‍✈️	píolótach fear: ton dorcha craicinn
👨🏿‍✈	píolótach fear: ton dorcha craicinn
👩‍✈️	píolótach bean
👩‍✈	píolótach bean
👩🏻‍✈️	píolótach bean: ton craiceann éadrom
👩🏻‍✈	píolótach bean: ton craiceann éadrom
👩🏼‍✈️	píolótach bean: ton craiceann meánach
👩🏼‍✈	píolótach bean: ton craiceann meánach
👩🏽‍✈️	píolótach bean: ton craiceann meánach
👩🏽‍✈	píolótach bean: ton craiceann meánach
👩🏾‍✈️	píolótach bean: ton craiceann meán-dorcha
👩🏾‍✈	píolótach bean: ton craiceann meán-dorcha
👩🏿‍✈️	píolótach bean: ton dorcha craicinn
👩🏿‍✈	píolótach bean: ton dorcha craicinn
👨‍🚀	spásaire fear
👨🏻‍🚀	spásaire fear: ton craicinn éadrom
👨🏼‍🚀	spásaire fear: ton craiceann meánach
👨🏽‍🚀	spásaire fear: ton craiceann meánach
👨🏾‍🚀	spásaire fear: ton craiceann meán-dorcha
👨🏿‍🚀	spásaire fear: ton dorcha craicinn
👩‍🚀	spásaire bean
👩🏻‍🚀	spásaire bean: ton craicinn éadrom
👩🏼‍🚀	spásaire mná: ton craiceann meánach
👩🏽‍🚀	spásaire bean: ton craiceann meánach
👩🏾‍🚀	spásaire bean: ton craiceann meán-dorcha
👩🏿‍🚀	spásaire bean: ton dorcha craicinn
👨‍🚒	comhraiceoir dóiteáin fear
👨🏻‍🚒	fear comhraiceoir dóiteáin: ton craicinn éadrom
👨🏼‍🚒	comhraiceoir dóiteáin: ton craiceann meánach
👨🏽‍🚒	fear comhraiceoir dóiteáin: ton craiceann meánach
👨🏾‍🚒	comhraiceoir dóiteáin fear: ton craiceann meán-dorcha
👨🏿‍🚒	fear comhraiceoir dóiteáin: ton dorcha craicinn
👩‍🚒	bean comhraiceoir dóiteáin
👩🏻‍🚒	bean comhraiceoir dóiteáin: ton craicinn éadrom
👩🏼‍🚒	comhraiceoir dóiteáin bean: ton craiceann meánach
👩🏽‍🚒	bean comhraiceoir dóiteáin: ton craiceann meánach
👩🏾‍🚒	bean comhraiceoir dóiteáin: ton craiceann meán-dorcha
👩🏿‍🚒	bean comhraiceoir dóiteáin: ton craiceann dorcha
👮	póilín
👮🏻	póilín: ton craicinn éadrom
👮🏼	póilín: ton craiceann meánach
👮🏽	póilín: ton meánach craicinn
👮🏾	póilín: ton craiceann meán-dorcha
👮🏿	póilín: ton dorcha craicinn
👮‍♂️	fear póilín
👮‍♂	fear póilín
👮🏻‍♂️	fear póilín: ton craicinn éadrom
👮🏻‍♂	fear póilín: ton craicinn éadrom
👮🏼‍♂️	fear póilín: ton craiceann meánach
👮🏼‍♂	fear póilín: ton craiceann meánach
👮🏽‍♂️	fear póilín: ton meánach craicinn
👮🏽‍♂	fear póilín: ton meánach craicinn
👮🏾‍♂️	fear póilín: ton craiceann meán-dorcha
👮🏾‍♂	fear póilín: ton craiceann meán-dorcha
👮🏿‍♂️	fear póilín: ton dorcha craicinn
👮🏿‍♂	fear póilín: ton dorcha craicinn
👮‍♀️	bean póilín
👮‍♀	bean póilín
👮🏻‍♀️	bean póilín: ton craicinn éadrom
👮🏻‍♀	bean póilín: ton craicinn éadrom
👮🏼‍♀️	bean póilín: ton craiceann meánach
👮🏼‍♀	bean póilín: ton craiceann meánach
👮🏽‍♀️	bean póilín: ton craiceann meánach
👮🏽‍♀	bean póilín: ton craiceann meánach
👮🏾‍♀️	bean póilín: ton craiceann meán-dorcha
👮🏾‍♀	bean póilín: ton craiceann meán-dorcha
👮🏿‍♀️	bean póilín: ton dorcha craicinn
👮🏿‍♀	bean póilín: ton dorcha craicinn
🕵️	bleachtaire
🕵	bleachtaire
🕵🏻	bleachtaire: ton craicinn éadrom
🕵🏼	bleachtaire: ton craiceann meánach
🕵🏽	bleachtaire: ton craiceann meánach
🕵🏾	bleachtaire: ton craiceann meán-dorcha
🕵🏿	bleachtaire: ton dorcha craicinn
🕵️‍♂️	bleachtaire fear
🕵‍♂️	bleachtaire fear
🕵️‍♂	bleachtaire fear
🕵‍♂	bleachtaire fear
🕵🏻‍♂️	bleachtaire fear: ton craiceann éadrom
🕵🏻‍♂	bleachtaire fear: ton craiceann éadrom
🕵🏼‍♂️	bleachtaire fear: ton craiceann meánach
🕵🏼‍♂	bleachtaire fear: ton craiceann meánach
🕵🏽‍♂️	bleachtaire fear: ton craiceann meánach
🕵🏽‍♂	bleachtaire fear: ton craiceann meánach
🕵🏾‍♂️	bleachtaire fear: ton craiceann meán-dorcha
🕵🏾‍♂	bleachtaire fear: ton craiceann meán-dorcha
🕵🏿‍♂️	bleachtaire fear: ton dorcha craicinn
🕵🏿‍♂	bleachtaire fear: ton dorcha craicinn
🕵️‍♀️	bleachtaire mná
🕵‍♀️	bleachtaire mná
🕵️‍♀	bleachtaire mná
🕵‍♀	bleachtaire mná
🕵🏻‍♀️	bleachtaire mná: ton craiceann éadrom
🕵🏻‍♀	bleachtaire mná: ton craiceann éadrom
🕵🏼‍♀️	Bean bleachtaire: ton craiceann meánach
🕵🏼‍♀	Bean bleachtaire: ton craiceann meánach
🕵🏽‍♀️	bleachtaire mná: ton craiceann meánach
🕵🏽‍♀	bleachtaire mná: ton craiceann meánach
🕵🏾‍♀️	bleachtaire mná: ton craiceann meán-dorcha
🕵🏾‍♀	bleachtaire mná: ton craiceann meán-dorcha
🕵🏿‍♀️	bleachtaire mná: ton dorcha craicinn
🕵🏿‍♀	bleachtaire mná: ton dorcha craicinn
💂	garda
💂🏻	garda: ton craicinn éadrom
💂🏼	garda: ton craiceann meánach
💂🏽	garda: ton craiceann meánach
💂🏾	garda: ton craiceann meán-dorcha
💂🏿	garda: ton dorcha craicinn
💂‍♂️	garda fear
💂‍♂	garda fear
💂🏻‍♂️	garda fear: ton craicinn éadrom
💂🏻‍♂	garda fear: ton craicinn éadrom
💂🏼‍♂️	garda fir: ton craiceann meánach
💂🏼‍♂	garda fir: ton craiceann meánach
💂🏽‍♂️	garda fear: ton craiceann meánach
💂🏽‍♂	garda fear: ton craiceann meánach
💂🏾‍♂️	garda fear: ton craiceann meán-dorcha
💂🏾‍♂	garda fear: ton craiceann meán-dorcha
💂🏿‍♂️	garda fear: ton dorcha craicinn
💂🏿‍♂	garda fear: ton dorcha craicinn
💂‍♀️	garda mná
💂‍♀	garda mná
💂🏻‍♀️	garda mná: ton craicinn éadrom
💂🏻‍♀	garda mná: ton craicinn éadrom
💂🏼‍♀️	Garda bean: ton craiceann meánach
💂🏼‍♀	Garda bean: ton craiceann meánach
💂🏽‍♀️	garda bean: ton craiceann meánach
💂🏽‍♀	garda bean: ton craiceann meánach
💂🏾‍♀️	garda mná: ton craiceann meán-dorcha
💂🏾‍♀	garda mná: ton craiceann meán-dorcha
💂🏿‍♀️	garda mná: ton dorcha craicinn
💂🏿‍♀	garda mná: ton dorcha craicinn
👷	oibrí tógála
👷🏻	oibrí tógála: ton craicinn éadrom
👷🏼	oibrí tógála: ton craiceann meánach
👷🏽	oibrí tógála: ton craiceann meánach
👷🏾	oibrí tógála: ton craiceann meán-dorcha
👷🏿	oibrí tógála: ton dorcha craicinn
👷‍♂️	fear oibrí tógála
👷‍♂	fear oibrí tógála
👷🏻‍♂️	oibrí tógála fear: ton craiceann éadrom
👷🏻‍♂	oibrí tógála fear: ton craiceann éadrom
👷🏼‍♂️	oibrí tógála fear: ton craiceann meánach
👷🏼‍♂	oibrí tógála fear: ton craiceann meánach
👷🏽‍♂️	oibrí tógála fear: ton craiceann meánach
👷🏽‍♂	oibrí tógála fear: ton craiceann meánach
👷🏾‍♂️	oibrí tógála fear: ton craiceann meán-dorcha
👷🏾‍♂	oibrí tógála fear: ton craiceann meán-dorcha
👷🏿‍♂️	oibrí tógála fear: ton dorcha craicinn
👷🏿‍♂	oibrí tógála fear: ton dorcha craicinn
👷‍♀️	bean oibrí tógála
👷‍♀	bean oibrí tógála
👷🏻‍♀️	bean oibrí tógála: ton craicinn éadrom
👷🏻‍♀	bean oibrí tógála: ton craicinn éadrom
👷🏼‍♀️	oibrí tógála bean: ton craiceann meánach
👷🏼‍♀	oibrí tógála bean: ton craiceann meánach
👷🏽‍♀️	oibrí tógála bean: ton craiceann meánach
👷🏽‍♀	oibrí tógála bean: ton craiceann meánach
👷🏾‍♀️	oibrí tógála bean: ton craiceann meán-dorcha
👷🏾‍♀	oibrí tógála bean: ton craiceann meán-dorcha
👷🏿‍♀️	bean oibrí tógála: ton dorcha craicinn
👷🏿‍♀	bean oibrí tógála: ton dorcha craicinn
🤴	prionsa
🤴🏻	prionsa: ton craicinn éadrom
🤴🏼	prionsa: ton craiceann meánach
🤴🏽	prionsa: ton craiceann meánach
🤴🏾	prionsa: ton craiceann meán-dorcha
🤴🏿	prionsa: ton dorcha craicinn
👸	banphrionsa
👸🏻	banphrionsa: ton craicinn éadrom
👸🏼	banphrionsa: ton craiceann meánach
👸🏽	banphrionsa: ton craiceann meánach
👸🏾	banphrionsa: ton craiceann meán-dorcha
👸🏿	banphrionsa: ton dorcha craicinn
👳	duine ag caitheamh turban
👳🏻	duine ag caitheamh turban: ton craicinn éadrom
👳🏼	duine ag caitheamh turban: ton craiceann meánach
👳🏽	duine ag caitheamh turban: ton craiceann meánach
👳🏾	duine ag caitheamh turban: ton craiceann meán-dorcha
👳🏿	duine ag caitheamh turban: ton dorcha craicinn
👳‍♂️	fear ag caitheamh turban
👳‍♂	fear ag caitheamh turban
👳🏻‍♂️	fear ag caitheamh turban: ton craicinn éadrom
👳🏻‍♂	fear ag caitheamh turban: ton craicinn éadrom
👳🏼‍♂️	fear ag caitheamh turban: ton craiceann meánach
👳🏼‍♂	fear ag caitheamh turban: ton craiceann meánach
👳🏽‍♂️	fear ag caitheamh turban: ton craiceann meánach
👳🏽‍♂	fear ag caitheamh turban: ton craiceann meánach
👳🏾‍♂️	fear ag caitheamh turban: ton craiceann meán-dorcha
👳🏾‍♂	fear ag caitheamh turban: ton craiceann meán-dorcha
👳🏿‍♂️	fear ag caitheamh turban: ton dorcha craicinn
👳🏿‍♂	fear ag caitheamh turban: ton dorcha craicinn
👳‍♀️	bean ag caitheamh turban
👳‍♀	bean ag caitheamh turban
👳🏻‍♀️	bean ag caitheamh turban: ton craicinn éadrom
👳🏻‍♀	bean ag caitheamh turban: ton craicinn éadrom
👳🏼‍♀️	bean ag caitheamh turban: ton craiceann meánach
👳🏼‍♀	bean ag caitheamh turban: ton craiceann meánach
👳🏽‍♀️	bean ag caitheamh turban: ton craiceann meánach
👳🏽‍♀	bean ag caitheamh turban: ton craiceann meánach
👳🏾‍♀️	bean ag caitheamh turban: ton craiceann meán-dorcha
👳🏾‍♀	bean ag caitheamh turban: ton craiceann meán-dorcha
👳🏿‍♀️	bean ag caitheamh turban: ton dorcha craicinn
👳🏿‍♀	bean ag caitheamh turban: ton dorcha craicinn
👲	fear le caipín Síneach
