😀	išsišiepęs veidas
👩‍⚕️	moteris sveikatos darbuotoja
👩‍⚕	moteris sveikatos darbuotoja
👩🏻‍⚕️	moteris sveikatos priežiūros darbuotoja: šviesus odos atspalvis
👩🏻‍⚕	moteris sveikatos priežiūros darbuotoja: šviesus odos atspalvis
👩🏼‍⚕️	moteris sveikatos priežiūros darbuotoja: vidutinio šviesumo odos atspalvis
👩🏼‍⚕	moteris sveikatos priežiūros darbuotoja: vidutinio šviesumo odos atspalvis
👩🏽‍⚕️	moteris sveikatos darbuotoja: vidutinis odos atspalvis
👩🏽‍⚕	moteris sveikatos darbuotoja: vidutinis odos atspalvis
👩🏾‍⚕️	moteris sveikatos priežiūros darbuotoja: vidutiniškai tamsus odos atspalvis
👩🏾‍⚕	moteris sveikatos priežiūros darbuotoja: vidutiniškai tamsus odos atspalvis
👩🏿‍⚕️	moteris sveikatos darbuotoja: tamsus odos atspalvis
👩🏿‍⚕	moteris sveikatos darbuotoja: tamsus odos atspalvis
👨‍🎓	vyras studentas
👨🏻‍🎓	vyras studentas: šviesios odos atspalvis
👨🏼‍🎓	vyras studentas: vidutinio šviesumo odos atspalvis
👨🏽‍🎓	vyras studentas: vidutinis odos atspalvis
👨🏾‍🎓	vyras studentas: vidutiniškai tamsus odos atspalvis
👨🏿‍🎓	vyras studentas: tamsus odos atspalvis
👩‍🎓	moteris studentė
👩🏻‍🎓	moteris studentė: šviesios odos
👩🏼‍🎓	moteris studentė: vidutinio šviesumo odos atspalvis
👩🏽‍🎓	moteris studentė: vidutinio odos atspalvio
👩🏾‍🎓	moteris studentė: vidutiniškai tamsus odos atspalvis
👩🏿‍🎓	moteris studentė: tamsus odos atspalvis
👨‍🏫	vyras mokytojas
👨🏻‍🏫	vyras mokytojas: šviesus odos atspalvis
👨🏼‍🏫	vyras mokytojas: vidutinio šviesumo odos atspalvis
👨🏽‍🏫	vyras mokytojas: vidutinio odos atspalvio
👨🏾‍🏫	vyras mokytojas: vidutiniškai tamsus odos atspalvis
👨🏿‍🏫	vyras mokytojas: tamsus odos tonas
👩‍🏫	moteris mokytoja
👩🏻‍🏫	moteris mokytoja: šviesios odos
👩🏼‍🏫	moteris mokytoja: vidutinio šviesumo odos atspalvis
👩🏽‍🏫	moteris mokytoja: vidutinio odos atspalvio
👩🏾‍🏫	moteris mokytoja: vidutiniškai tamsus odos atspalvis
👩🏿‍🏫	moteris mokytoja: tamsus odos atspalvis
👨‍⚖️	vyras teisėjas
👨‍⚖	vyras teisėjas
👨🏻‍⚖️	vyras teisėjas: šviesus odos atspalvis
👨🏻‍⚖	vyras teisėjas: šviesus odos atspalvis
👨🏼‍⚖️	vyras teisėjas: vidutinio šviesumo odos atspalvis
👨🏼‍⚖	vyras teisėjas: vidutinio šviesumo odos atspalvis
👨🏽‍⚖️	vyras teisėjas: vidutinio odos atspalvio
👨🏽‍⚖	vyras teisėjas: vidutinio odos atspalvio
👨🏾‍⚖️	vyras teisėjas: vidutiniškai tamsus odos atspalvis
👨🏾‍⚖	vyras teisėjas: vidutiniškai tamsus odos atspalvis
👨🏿‍⚖️	vyras teisėjas: tamsus odos atspalvis
👨🏿‍⚖	vyras teisėjas: tamsus odos atspalvis
👩‍⚖️	moteris teisėja
👩‍⚖	moteris teisėja
👩🏻‍⚖️	moteris teisėja: šviesus odos atspalvis
👩🏻‍⚖	moteris teisėja: šviesus odos atspalvis
👩🏼‍⚖️	moteris teisėja: vidutinio šviesumo odos atspalvis
👩🏼‍⚖	moteris teisėja: vidutinio šviesumo odos atspalvis
👩🏽‍⚖️	moteris teisėja: vidutinio odos atspalvio
👩🏽‍⚖	moteris teisėja: vidutinio odos atspalvio
👩🏾‍⚖️	moteris teisėja: vidutiniškai tamsus odos atspalvis
👩🏾‍⚖	moteris teisėja: vidutiniškai tamsus odos atspalvis
👩🏿‍⚖️	moteris teisėja: tamsus odos atspalvis
👩🏿‍⚖	moteris teisėja: tamsus odos atspalvis
👨‍🌾	vyras ūkininkas
👨🏻‍🌾	vyras ūkininkas: šviesus odos atspalvis
👨🏼‍🌾	vyras ūkininkas: vidutinio šviesumo odos atspalvis
👨🏽‍🌾	vyras ūkininkas: vidutinis odos atspalvis
👨🏾‍🌾	vyras ūkininkas: vidutiniškai tamsus odos atspalvis
👨🏿‍🌾	vyras ūkininkas: tamsus odos atspalvis
👩‍🌾	moteris ūkininkė
👩🏻‍🌾	moteris ūkininkė: šviesus odos atspalvis
👩🏼‍🌾	moteris ūkininkė: vidutinio šviesumo odos atspalvis
👩🏽‍🌾	moteris ūkininkė: vidutinio odos atspalvio
👩🏾‍🌾	moteris ūkininkė: vidutiniškai tamsus odos atspalvis
👩🏿‍🌾	moteris ūkininkė: tamsus odos atspalvis
👨‍🍳	vyras virėjas
👨🏻‍🍳	vyras virėjas: šviesios odos
👨🏼‍🍳	vyras virėjas: vidutinio šviesumo odos atspalvis
👨🏽‍🍳	vyras virėjas: vidutinio odos atspalvio
👨🏾‍🍳	vyras virėjas: vidutiniškai tamsus odos atspalvis
👨🏿‍🍳	vyras virėjas: tamsus odos atspalvis
👩‍🍳	moteris virėja
👩🏻‍🍳	moteris virėja: šviesios odos
👩🏼‍🍳	moteris virėja: vidutinio šviesumo odos atspalvis
👩🏽‍🍳	moteris virėja: vidutinio odos atspalvio
👩🏾‍🍳	moteris virėja: vidutiniškai tamsus odos atspalvis
👩🏿‍🍳	moteris virėja: tamsus odos atspalvis
👨‍🔧	vyras mechanikas
👨🏻‍🔧	vyras mechanikas: šviesus odos atspalvis
👨🏼‍🔧	vyras mechanikas: vidutinio šviesumo odos atspalvis
👨🏽‍🔧	vyras mechanikas: vidutinio odos atspalvio
👨🏾‍🔧	vyras mechanikas: vidutiniškai tamsus odos atspalvis
👨🏿‍🔧	vyras mechanikas: tamsus odos atspalvis
👩‍🔧	moteris mechanikė
👩🏻‍🔧	moteris mechanikė: šviesios odos
👩🏼‍🔧	moteris mechanikė: vidutinio šviesumo odos atspalvis
👩🏽‍🔧	moteris mechanikė: vidutinio odos atspalvio
👩🏾‍🔧	moteris mechanikė: vidutiniškai tamsus odos atspalvis
👩🏿‍🔧	moteris mechanikė: tamsus odos atspalvis
👨‍🏭	vyras gamyklos darbuotojas
👨🏻‍🏭	vyras gamyklos darbuotojas: šviesios odos
👨🏼‍🏭	vyras gamyklos darbuotojas: vidutinio šviesumo odos atspalvis
👨🏽‍🏭	vyras gamyklos darbuotojas: vidutinio odos atspalvio
👨🏾‍🏭	vyras gamyklos darbuotojas: vidutiniškai tamsus odos atspalvis
👨🏿‍🏭	vyras gamyklos darbuotojas: tamsus odos atspalvis
👩‍🏭	moteris gamyklos darbuotoja
👩🏻‍🏭	moteris gamyklos darbuotoja: šviesios odos
👩🏼‍🏭	moteris gamyklos darbuotoja: vidutinio šviesumo odos atspalvis
👩🏽‍🏭	moteris gamyklos darbuotoja: vidutinio odos atspalvio
👩🏾‍🏭	moteris gamyklos darbuotoja: vidutiniškai tamsus odos atspalvis
👩🏿‍🏭	moteris gamyklos darbuotoja: tamsios odos
👨‍💼	vyras biuro darbuotojas
👨🏻‍💼	vyras biuro darbuotojas: šviesios odos
👨🏼‍💼	vyras biuro darbuotojas: vidutinio šviesumo odos atspalvis
👨🏽‍💼	vyras biuro darbuotojas: vidutinio odos atspalvio
👨🏾‍💼	vyras biuro darbuotojas: vidutiniškai tamsus odos atspalvis
👨🏿‍💼	vyras biuro darbuotojas: tamsus odos atspalvis
👩‍💼	moteris biuro darbuotoja
👩🏻‍💼	moteris biuro darbuotoja: šviesios odos
👩🏼‍💼	moteris biuro darbuotoja: vidutinio šviesumo odos atspalvis
👩🏽‍💼	moteris biuro darbuotoja: vidutinio atspalvio oda
👩🏾‍💼	biuro darbuotoja: vidutiniškai tamsus odos atspalvis
👩🏿‍💼	moteris biuro darbuotoja: tamsus odos atspalvis
👨‍🔬	žmogus mokslininkas
👨🏻‍🔬	vyras mokslininkas: šviesus odos atspalvis
👨🏼‍🔬	vyras mokslininkas: vidutinio šviesumo odos atspalvis
👨🏽‍🔬	vyras mokslininkas: vidutinio odos atspalvio
👨🏾‍🔬	vyras mokslininkas: vidutiniškai tamsus odos atspalvis
👨🏿‍🔬	vyras mokslininkas: tamsus odos atspalvis
👩‍🔬	moteris mokslininkė
👩🏻‍🔬	moteris mokslininkė: šviesus odos atspalvis
👩🏼‍🔬	moteris mokslininkė: vidutinio šviesumo odos atspalvis
👩🏽‍🔬	moteris mokslininkė: vidutinio odos atspalvio
👩🏾‍🔬	moteris mokslininkė: vidutiniškai tamsus odos atspalvis
👩🏿‍🔬	moteris mokslininkė: tamsus odos atspalvis
👨‍💻	vyras technologas
👨🏻‍💻	vyras technologas: šviesus odos atspalvis
👨🏼‍💻	vyras technologas: vidutinio šviesumo odos atspalvis
👨🏽‍💻	vyras technologas: vidutinio odos atspalvio
👨🏾‍💻	vyras technologas: vidutiniškai tamsus odos atspalvis
👨🏿‍💻	vyras technologas: tamsus odos atspalvis
👩‍💻	moteris technologė
👩🏻‍💻	moteris technologė: šviesios odos
👩🏼‍💻	moteris technologė: vidutinio šviesumo odos atspalvis
👩🏽‍💻	moteris technologė: vidutinio odos atspalvio
👩🏾‍💻	moteris technologė: vidutiniškai tamsus odos atspalvis
👩🏿‍💻	moteris technologė: tamsus odos atspalvis
👨‍🎤	vyras dainininkas
👨🏻‍🎤	dainininkas vyras: šviesus odos atspalvis
👨🏼‍🎤	vyras dainininkas: vidutinio šviesumo odos atspalvis
👨🏽‍🎤	dainininkas vyras: vidutinis odos atspalvis
👨🏾‍🎤	dainininkas vyras: vidutiniškai tamsus odos atspalvis
👨🏿‍🎤	dainininkas vyras: tamsus odos atspalvis
👩‍🎤	dainininkė moteris
👩🏻‍🎤	dainininkė: šviesios odos
👩🏼‍🎤	dainininkė: vidutinio šviesumo odos atspalvis
👩🏽‍🎤	dainininkė: vidutinis odos atspalvis
👩🏾‍🎤	dainininkė: vidutiniškai tamsus odos atspalvis
👩🏿‍🎤	dainininkė: tamsus odos atspalvis
👨‍🎨	vyras menininkas
👨🏻‍🎨	vyras menininkas: šviesus odos atspalvis
👨🏼‍🎨	vyras menininkas: vidutinio šviesumo odos atspalvis
👨🏽‍🎨	vyras menininkas: vidutinio odos atspalvio
👨🏾‍🎨	vyras menininkas: vidutiniškai tamsus odos atspalvis
👨🏿‍🎨	vyras menininkas: tamsus odos atspalvis
👩‍🎨	moteris menininkė
👩🏻‍🎨	moteris menininkė: šviesios odos
👩🏼‍🎨	moteris menininkė: vidutinio šviesumo odos atspalvis
👩🏽‍🎨	moteris menininkė: vidutinio odos atspalvio
👩🏾‍🎨	moteris menininkė: vidutiniškai tamsus odos atspalvis
👩🏿‍🎨	moteris menininkė: tamsus odos atspalvis
👨‍✈️	vyras pilotas
👨‍✈	vyras pilotas
👨🏻‍✈️	vyras pilotas: šviesus odos atspalvis
👨🏻‍✈	vyras pilotas: šviesus odos atspalvis
👨🏼‍✈️	vyras pilotas: vidutinio šviesumo odos atspalvis
👨🏼‍✈	vyras pilotas: vidutinio šviesumo odos atspalvis
👨🏽‍✈️	vyras pilotas: vidutinio odos atspalvio
👨🏽‍✈	vyras pilotas: vidutinio odos atspalvio
👨🏾‍✈️	vyras pilotas: vidutiniškai tamsus odos atspalvis
👨🏾‍✈	vyras pilotas: vidutiniškai tamsus odos atspalvis
👨🏿‍✈️	vyras pilotas: tamsus odos atspalvis
👨🏿‍✈	vyras pilotas: tamsus odos atspalvis
👩‍✈️	moteris pilotė
👩‍✈	moteris pilotė
👩🏻‍✈️	moteris pilotė: šviesus odos atspalvis
👩🏻‍✈	moteris pilotė: šviesus odos atspalvis
👩🏼‍✈️	moteris pilotė: vidutinio šviesumo odos atspalvis
👩🏼‍✈	moteris pilotė: vidutinio šviesumo odos atspalvis
👩🏽‍✈️	moteris pilotė: vidutinio odos atspalvio
👩🏽‍✈	moteris pilotė: vidutinio odos atspalvio
👩🏾‍✈️	moteris pilotė: vidutiniškai tamsus odos atspalvis
👩🏾‍✈	moteris pilotė: vidutiniškai tamsus odos atspalvis
👩🏿‍✈️	moteris pilotė: tamsus odos atspalvis
👩🏿‍✈	moteris pilotė: tamsus odos atspalvis
👨‍🚀	vyras astronautas
👨🏻‍🚀	vyras astronautas: šviesus odos atspalvis
👨🏼‍🚀	vyras astronautas: vidutinio šviesumo odos atspalvis
👨🏽‍🚀	vyras astronautas: vidutinis odos atspalvis
👨🏾‍🚀	vyras astronautas: vidutiniškai tamsus odos atspalvis
👨🏿‍🚀	vyras astronautas: tamsus odos atspalvis
👩‍🚀	moteris astronautė
👩🏻‍🚀	moteris astronautė: šviesios odos
👩🏼‍🚀	moteris astronautė: vidutinio šviesumo odos atspalvis
👩🏽‍🚀	moteris astronautė: vidutinio odos atspalvio
👩🏾‍🚀	moteris astronautė: vidutiniškai tamsus odos atspalvis
👩🏿‍🚀	moteris astronautė: tamsus odos atspalvis
👨‍🚒	vyras ugniagesys
👨🏻‍🚒	vyras ugniagesys: šviesios odos
👨🏼‍🚒	vyras ugniagesys: vidutinio šviesumo odos atspalvis
👨🏽‍🚒	vyras ugniagesys: vidutinis odos atspalvis
👨🏾‍🚒	vyras ugniagesys: vidutiniškai tamsus odos atspalvis
👨🏿‍🚒	vyras ugniagesys: tamsus odos atspalvis
👩‍🚒	moteris ugniagesė
👩🏻‍🚒	moteris ugniagesė: šviesios odos
👩🏼‍🚒	moteris ugniagesė: vidutinio šviesumo odos atspalvis
👩🏽‍🚒	moteris ugniagesė: vidutinio odos atspalvio
👩🏾‍🚒	moteris ugniagesė: vidutiniškai tamsus odos atspalvis
👩🏿‍🚒	moteris ugniagesė: tamsus odos atspalvis
👮	policijos pareigūnas
👮🏻	policijos pareigūnas: šviesios odos
👮🏼	policijos pareigūnas: vidutinio šviesumo odos atspalvis
👮🏽	policijos pareigūnas: vidutinio odos atspalvio
👮🏾	policijos pareigūnas: vidutiniškai tamsus odos atspalvis
👮🏿	policijos pareigūnas: tamsios odos
👮‍♂️	vyras policininkas
👮‍♂	vyras policininkas
👮🏻‍♂️	vyras policininkas: šviesios odos
👮🏻‍♂	vyras policininkas: šviesios odos
👮🏼‍♂️	vyras policijos pareigūnas: vidutinio šviesumo odos atspalvis
👮🏼‍♂	vyras policijos pareigūnas: vidutinio šviesumo odos atspalvis
👮🏽‍♂️	vyras policininkas: vidutinio odos atspalvio
👮🏽‍♂	vyras policininkas: vidutinio odos atspalvio
👮🏾‍♂️	vyras policijos pareigūnas: vidutiniškai tamsus odos atspalvis
👮🏾‍♂	vyras policijos pareigūnas: vidutiniškai tamsus odos atspalvis
👮🏿‍♂️	vyras policijos pareigūnas: tamsios odos
👮🏿‍♂	vyras policijos pareigūnas: tamsios odos
👮‍♀️	moteris policininkė
👮‍♀	moteris policininkė
👮🏻‍♀️	moteris policininkė: šviesios odos
👮🏻‍♀	moteris policininkė: šviesios odos
👮🏼‍♀️	moteris policininkė: vidutinio šviesumo odos atspalvis
👮🏼‍♀	moteris policininkė: vidutinio šviesumo odos atspalvis
👮🏽‍♀️	moteris policininkė: vidutinio odos atspalvio
👮🏽‍♀	moteris policininkė: vidutinio odos atspalvio
👮🏾‍♀️	moteris policininkė: vidutinio tamsumo odos atspalvis
👮🏾‍♀	moteris policininkė: vidutinio tamsumo odos atspalvis
👮🏿‍♀️	moteris policininkė: tamsus odos atspalvis
👮🏿‍♀	moteris policininkė: tamsus odos atspalvis
🕵️	detektyvas
🕵	detektyvas
🕵🏻	detektyvas: šviesus odos atspalvis
🕵🏼	detektyvas: vidutinio šviesumo odos atspalvis
🕵🏽	detektyvas: vidutinio odos atspalvio
🕵🏾	detektyvas: vidutiniškai tamsus odos atspalvis
🕵🏿	detektyvas: tamsus odos atspalvis
🕵️‍♂️	vyras detektyvas
🕵‍♂️	vyras detektyvas
🕵️‍♂	vyras detektyvas
🕵‍♂	vyras detektyvas
🕵🏻‍♂️	vyras detektyvas: šviesus odos atspalvis
🕵🏻‍♂	vyras detektyvas: šviesus odos atspalvis
🕵🏼‍♂️	vyriškas detektyvas: vidutinio šviesumo odos atspalvis
🕵🏼‍♂	vyriškas detektyvas: vidutinio šviesumo odos atspalvis
🕵🏽‍♂️	vyras detektyvas: vidutinio odos atspalvio
🕵🏽‍♂	vyras detektyvas: vidutinio odos atspalvio
🕵🏾‍♂️	vyras detektyvas: vidutiniškai tamsus odos atspalvis
🕵🏾‍♂	vyras detektyvas: vidutiniškai tamsus odos atspalvis
🕵🏿‍♂️	vyras detektyvas: tamsus odos atspalvis
🕵🏿‍♂	vyras detektyvas: tamsus odos atspalvis
🕵️‍♀️	moteris detektyvas
🕵‍♀️	moteris detektyvas
🕵️‍♀	moteris detektyvas
🕵‍♀	moteris detektyvas
🕵🏻‍♀️	detektyve moteris: šviesus odos atspalvis
🕵🏻‍♀	detektyve moteris: šviesus odos atspalvis
🕵🏼‍♀️	moteris detektyvė: vidutinio šviesumo odos atspalvis
🕵🏼‍♀	moteris detektyvė: vidutinio šviesumo odos atspalvis
🕵🏽‍♀️	moteris detektyvė: vidutinio odos atspalvio
🕵🏽‍♀	moteris detektyvė: vidutinio odos atspalvio
🕵🏾‍♀️	moteris detektyvė: vidutiniškai tamsus odos atspalvis
🕵🏾‍♀	moteris detektyvė: vidutiniškai tamsus odos atspalvis
🕵🏿‍♀️	detektyve moteris: tamsus odos atspalvis
🕵🏿‍♀	detektyve moteris: tamsus odos atspalvis
💂	apsauga
💂🏻	apsauga: šviesus odos tonas
💂🏼	apsauga: vidutinio šviesumo odos atspalvis
💂🏽	apsauga: vidutinio odos atspalvio
💂🏾	apsauga: vidutiniškai tamsus odos tonas
💂🏿	apsauga: tamsus odos tonas
💂‍♂️	vyras sargyba
💂‍♂	vyras sargyba
💂🏻‍♂️	vyro sargyba: šviesus odos atspalvis
💂🏻‍♂	vyro sargyba: šviesus odos atspalvis
💂🏼‍♂️	vyro apsauga: vidutinio šviesumo odos atspalvis
💂🏼‍♂	vyro apsauga: vidutinio šviesumo odos atspalvis
💂🏽‍♂️	vyro apsauga: vidutinio odos atspalvio
💂🏽‍♂	vyro apsauga: vidutinio odos atspalvio
💂🏾‍♂️	vyro apsauga: vidutiniškai tamsus odos atspalvis
💂🏾‍♂	vyro apsauga: vidutiniškai tamsus odos atspalvis
💂🏿‍♂️	vyro sargyba: tamsus odos atspalvis
💂🏿‍♂	vyro sargyba: tamsus odos atspalvis
💂‍♀️	moteris sargyba
💂‍♀	moteris sargyba
💂🏻‍♀️	moteris sargyba: šviesios odos
💂🏻‍♀	moteris sargyba: šviesios odos
💂🏼‍♀️	moteris sargyba: vidutinio šviesumo odos atspalvis
💂🏼‍♀	moteris sargyba: vidutinio šviesumo odos atspalvis
💂🏽‍♀️	moteris sargyba: vidutinio odos atspalvio
💂🏽‍♀	moteris sargyba: vidutinio odos atspalvio
💂🏾‍♀️	moteris sargyba: vidutiniškai tamsus odos atspalvis
💂🏾‍♀	moteris sargyba: vidutiniškai tamsus odos atspalvis
💂🏿‍♀️	moteris sargyba: tamsus odos atspalvis
💂🏿‍♀	moteris sargyba: tamsus odos atspalvis
👷	statybininkas
👷🏻	statybininkas: šviesios odos
👷🏼	statybininkas: vidutinio šviesumo odos atspalvis
👷🏽	statybininkas: vidutinio atspalvio oda
👷🏾	statybininkas: vidutiniškai tamsus odos atspalvis
👷🏿	statybininkas: tamsios odos
👷‍♂️	vyras statybininkas
👷‍♂	vyras statybininkas
👷🏻‍♂️	vyras statybininkas: šviesios odos
👷🏻‍♂	vyras statybininkas: šviesios odos
👷🏼‍♂️	vyras statybininkas: vidutinio šviesumo odos atspalvis
👷🏼‍♂	vyras statybininkas: vidutinio šviesumo odos atspalvis
👷🏽‍♂️	vyras statybininkas: vidutinis odos atspalvis
👷🏽‍♂	vyras statybininkas: vidutinis odos atspalvis
👷🏾‍♂️	vyras statybininkas: vidutiniškai tamsus odos atspalvis
👷🏾‍♂	vyras statybininkas: vidutiniškai tamsus odos atspalvis
👷🏿‍♂️	vyras statybininkas: tamsios odos
👷🏿‍♂	vyras statybininkas: tamsios odos
👷‍♀️	moteris statybininkė
👷‍♀	moteris statybininkė
👷🏻‍♀️	moteris statybininkė: šviesios odos
👷🏻‍♀	moteris statybininkė: šviesios odos
👷🏼‍♀️	moteris statybininkė: vidutinio šviesumo odos atspalvis
