😀	hmel nuihzatthlak tak
🙀	chau tak cat hmai
😿	tap chhuak cat hmai
😾	pouting cat hmai
🙈	see-no-evil sakeibaknei
🙉	hre-no-evil monkey
🙊	speak-no-evil sakeibaknei
🏻	vun rawng hring hring
🏼	vun rawng (medium-light skin tone) a ni
🏽	vun rawng (medium skin tone) a ni
🏾	vun rawng chu medium-dark a ni
🏿	vun rawng dum a ni
👶	naute
👶🏻	naute: vun rawng hring
👶🏼	naute: vun rawng (medium-light skin tone) a ni
👶🏽	naute: vun rawng (medium skin tone) a ni
👶🏾	naute: vun rawng (medium-dark skin tone) a ni
👶🏿	naute: vun rawng dum
🧒	naupang
🧒🏻	naupang: vun rawng hring
🧒🏼	naupang: vun rawng (medium-light skin tone) a ni
🧒🏽	naupang: vun rawng (medium skin tone) a ni
🧒🏾	naupang: vun rawng (medium-dark skin tone) a ni
🧒🏿	naupang: vun rawng dum
👦	mipa naupang
👦🏻	tlangval: vun rawng hring
👦🏼	tlangval: vun rawng (medium-light skin tone) a ni
👦🏽	tlangval: vun rawng (medium skin tone) a ni
👦🏾	tlangval: vun rawng (medium-dark skin tone) a ni
👦🏿	boy: vun rawng dum
👧	hmeichhe naupang
👧🏻	hmeichhia: vun rawng hring
👧🏼	hmeichhia: vun rawng (medium-light skin tone) a ni
👧🏽	hmeichhia: vun rawng (medium skin tone) a ni
👧🏾	hmeichhia: vun rawng (medium-dark skin tone) a ni
👧🏿	hmeichhia: vun dum hring
🧑	puitling
🧑🏻	puitling: vun rawng hring
🧑🏼	puitling: vun rawng (medium-light skin tone) a ni
🧑🏽	puitling: vun rawng (medium skin tone) a ni
🧑🏾	puitling: vun rawng (medium-dark skin tone) a ni
🧑🏿	puitling: vun rawng dum
👨	mipa
👨🏻	mipa: vun rawng hring
👨🏼	mipa: vun rawng (medium-light skin tone) a ni
👨🏽	mipa: vun rawng (medium skin tone) a ni
👨🏾	mipa: vun rawng (medium-dark skin tone) a ni
👨🏿	mipa: vun rawng dum
👩	hmeichhia
👩🏻	hmeichhia: vun rawng hring
👩🏼	hmeichhia: vun rawng (medium-light skin tone) a ni
👩🏽	hmeichhia: vun rawng (medium skin tone) a ni
👩🏾	hmeichhia: vun rawng (medium-dark skin tone) a ni
👩🏿	hmeichhia: vun dum hring
🧓	puitling kum upa zawk
🧓🏻	puitling upa zawk: vun rawng hring
🧓🏼	puitling upa zawk: vun rawng (medium-light skin tone) a ni
🧓🏽	puitling upa zawk: vun rawng (medium skin tone) a ni
🧓🏾	puitling upa zawk: vun rawng (medium-dark skin tone) a ni
🧓🏿	puitling upa zawk: vun rawng dum
👴	putar
👴🏻	putar: vun rawng hring
👴🏼	putar: vun rawng (medium-light skin tone) a ni
👴🏽	putar: vun rawng (medium skin tone) a ni
👴🏾	putar: vun rawng (medium-dark skin tone) a ni
👴🏿	putar: vun rawng dum
👵	hmeichhe upa tak
👵🏻	hmeichhe upa: vun rawng hring
👵🏼	hmeichhe upa: vun rawng (medium-light skin tone).
👵🏽	hmeichhe upa: vun rawng (medium skin tone).
👵🏾	hmeichhe upa: vun rawng (medium-dark skin tone).
👵🏿	hmeichhe upa: vun dum
👨‍⚕️	mipa hriselna lama thawk
👨‍⚕	mipa hriselna lama thawk
👨🏻‍⚕️	mipa hriselna lama thawk: vun rawng hring
👨🏻‍⚕	mipa hriselna lama thawk: vun rawng hring
👨🏼‍⚕️	mipa hriselna lama thawk: vun rawng (medium-light skin tone).
👨🏼‍⚕	mipa hriselna lama thawk: vun rawng (medium-light skin tone).
👨🏽‍⚕️	mipa hriselna lama thawk: vun rawng (medium skin tone).
👨🏽‍⚕	mipa hriselna lama thawk: vun rawng (medium skin tone).
👨🏾‍⚕️	mipa hriselna lama thawk: vun rawng dum (medium-dark skin tone).
👨🏾‍⚕	mipa hriselna lama thawk: vun rawng dum (medium-dark skin tone).
👨🏿‍⚕️	mipa hriselna lama thawk: vun dum
👨🏿‍⚕	mipa hriselna lama thawk: vun dum
👩‍⚕️	hmeichhe hriselna lama thawk
👩‍⚕	hmeichhe hriselna lama thawk
👩🏻‍⚕️	hmeichhe hriselna lama thawk: vun rawng hring
👩🏻‍⚕	hmeichhe hriselna lama thawk: vun rawng hring
👩🏼‍⚕️	hmeichhe hriselna lama thawk: vun rawng (medium-light skin tone).
👩🏼‍⚕	hmeichhe hriselna lama thawk: vun rawng (medium-light skin tone).
👩🏽‍⚕️	hmeichhe hriselna lama thawk: vun rawng (medium skin tone).
👩🏽‍⚕	hmeichhe hriselna lama thawk: vun rawng (medium skin tone).
👩🏾‍⚕️	hmeichhe hriselna lama thawk: vun rawng (medium-dark skin tone).
👩🏾‍⚕	hmeichhe hriselna lama thawk: vun rawng (medium-dark skin tone).
👩🏿‍⚕️	hmeichhe hriselna lama thawk: vun dum
👩🏿‍⚕	hmeichhe hriselna lama thawk: vun dum
👨‍🎓	mipa zirlai
👨🏻‍🎓	mipa zirlai: vun rawng hring
👨🏼‍🎓	mipa zirlai: vun rawng (medium-light skin tone) a ni
👨🏽‍🎓	mipa zirlai: vun rawng (medium skin tone).
👨🏾‍🎓	mipa zirlai: vun rawng dum (medium-dark skin tone) a ni
👨🏿‍🎓	mipa zirlai: vun dum hring
👩‍🎓	hmeichhe zirlai
👩🏻‍🎓	hmeichhe zirlai: vun rawng hring
👩🏼‍🎓	hmeichhe zirlai: vun rawng (medium-light skin tone) a ni
👩🏽‍🎓	hmeichhe zirlai: vun rawng (medium skin tone).
👩🏾‍🎓	hmeichhe zirlai: vun rawng dum (medium-dark skin tone).
👩🏿‍🎓	hmeichhe zirlai: vun dum
👨‍🏫	mipa zirtirtu
👨🏻‍🏫	mipa zirtirtu: vun rawng hring
👨🏼‍🏫	mipa zirtirtu: vun rawng (medium-light skin tone).
👨🏽‍🏫	mipa zirtirtu: vun rawng (medium skin tone).
👨🏾‍🏫	mipa zirtirtu: vun rawng (medium-dark skin tone).
👨🏿‍🏫	mipa zirtirtu: vun dum hring
👩‍🏫	hmeichhe zirtirtu
👩🏻‍🏫	hmeichhe zirtirtu: vun rawng hring
👩🏼‍🏫	hmeichhe zirtirtu: vun rawng (medium-light skin tone).
👩🏽‍🏫	hmeichhe zirtirtu: vun rawng (medium skin tone).
👩🏾‍🏫	hmeichhe zirtirtu: vun rawng (medium-dark skin tone).
👩🏿‍🏫	hmeichhe zirtirtu: vun dum
👨‍⚖️	mipa roreltu
👨‍⚖	mipa roreltu
👨🏻‍⚖️	mipa roreltu: vun rawng hring
👨🏻‍⚖	mipa roreltu: vun rawng hring
👨🏼‍⚖️	mipa roreltu: vun rawng (medium-light skin tone).
👨🏼‍⚖	mipa roreltu: vun rawng (medium-light skin tone).
👨🏽‍⚖️	mipa roreltu: vun rawng (medium skin tone).
👨🏽‍⚖	mipa roreltu: vun rawng (medium skin tone).
👨🏾‍⚖️	mipa roreltu: vun rawng (medium-dark skin tone).
👨🏾‍⚖	mipa roreltu: vun rawng (medium-dark skin tone).
👨🏿‍⚖️	mipa roreltu: vun dum hring
👨🏿‍⚖	mipa roreltu: vun dum hring
👩‍⚖️	hmeichhia roreltu
👩‍⚖	hmeichhia roreltu
👩🏻‍⚖️	hmeichhe roreltu: vun rawng hring
👩🏻‍⚖	hmeichhe roreltu: vun rawng hring
👩🏼‍⚖️	hmeichhe roreltu: vun rawng (medium-light skin tone).
👩🏼‍⚖	hmeichhe roreltu: vun rawng (medium-light skin tone).
👩🏽‍⚖️	hmeichhe roreltu: vun rawng (medium skin tone).
👩🏽‍⚖	hmeichhe roreltu: vun rawng (medium skin tone).
👩🏾‍⚖️	hmeichhe roreltu: vun rawng (medium-dark skin tone).
👩🏾‍⚖	hmeichhe roreltu: vun rawng (medium-dark skin tone).
👩🏿‍⚖️	hmeichhe roreltu: vun dum hring
👩🏿‍⚖	hmeichhe roreltu: vun dum hring
👨‍🌾	mipa loneitu
👨🏻‍🌾	mipa loneitu: vun rawng hring
👨🏼‍🌾	mipa loneitu: vun rawng (medium-light skin tone).
👨🏽‍🌾	mipa loneitu: vun rawng (medium skin tone).
👨🏾‍🌾	mipa loneitu: vun rawng dum (medium-dark skin tone).
👨🏿‍🌾	mipa loneitu: vun dum
👩‍🌾	hmeichhe loneitu
👩🏻‍🌾	hmeichhe loneitu: vun rawng hring
👩🏼‍🌾	hmeichhe loneitu: vun rawng (medium-light skin tone).
👩🏽‍🌾	hmeichhe loneitu: vun rawng (medium skin tone).
👩🏾‍🌾	hmeichhe loneitu: vun rawng (medium-dark skin tone).
👩🏿‍🌾	hmeichhe loneitu: vun dum
👨‍🍳	mipa chaw siam
👨🏻‍🍳	mipa chaw siam: vun rawng hring
👨🏼‍🍳	mipa chaw siam: vun rawng (medium-light skin tone).
👨🏽‍🍳	mipa chaw siam: vun rawng (medium skin tone).
👨🏾‍🍳	mipa chaw siam: vun rawng (medium-dark skin tone).
👨🏿‍🍳	mipa chaw siam: vun dum
👩‍🍳	hmeichhia chaw siam
👩🏻‍🍳	hmeichhe chaw siamtu: vun rawng hring
👩🏼‍🍳	hmeichhe chaw siamtu: vun rawng (medium-light skin tone).
👩🏽‍🍳	hmeichhe chaw siamtu: vun rawng (medium skin tone).
👩🏾‍🍳	hmeichhe chaw siamtu: vun rawng (medium-dark skin tone).
👩🏿‍🍳	hmeichhe chaw siam: vun dum
👨‍🔧	mipa mechanic a ni
👨🏻‍🔧	mipa mechanic: vun rawng hring
👨🏼‍🔧	mipa mechanic: vun rawng (medium-light skin tone) a ni
👨🏽‍🔧	mipa mechanic: vun rawng (medium skin tone) a ni
👨🏾‍🔧	mipa mechanic: vun rawng dum (medium-dark skin tone) a ni
👨🏿‍🔧	man mechanic: vun rawng dum
👩‍🔧	hmeichhia mechanic a ni
👩🏻‍🔧	hmeichhe mechanic: vun rawng hring
👩🏼‍🔧	hmeichhe mechanic: vun rawng (medium-light skin tone) a ni
👩🏽‍🔧	hmeichhe mechanic: vun rawng (medium skin tone) a ni
👩🏾‍🔧	hmeichhe mechanic: vun rawng dum (medium-dark skin tone) a ni
👩🏿‍🔧	hmeichhe mechanic: vun rawng dum
👨‍🏭	mipa factory-a thawk a ni
👨🏻‍🏭	mipa factory hnathawk: vun rawng hring
👨🏼‍🏭	mipa factory hnathawk: vun rawng (medium-light skin tone) a ni
👨🏽‍🏭	mipa factory hnathawk: vun rawng (medium skin tone) a ni
👨🏾‍🏭	mipa factory hnathawk: vun rawng dum (medium-dark skin tone) a ni
👨🏿‍🏭	mipa factory hnathawk: vun dum
👩‍🏭	hmeichhe factory hnathawk
👩🏻‍🏭	hmeichhe factory hnathawk: vun rawng hring
👩🏼‍🏭	hmeichhe factory hnathawk: vun rawng (medium-light skin tone) a ni
👩🏽‍🏭	hmeichhia factory-a thawk: vun rawng (medium skin tone) a ni
👩🏾‍🏭	hmeichhe factory hnathawk: vun rawng dum (medium-dark skin tone) a ni
👩🏿‍🏭	hmeichhe factory hnathawk: vun dum
👨‍💼	mipa office hnathawk a ni
👨🏻‍💼	mipa office hnathawk: vun rawng hring
👨🏼‍💼	mipa office hnathawk: vun rawng (medium-light skin tone) a ni
👨🏽‍💼	mipa office hnathawk: vun rawng (medium skin tone) a ni
👨🏾‍💼	mipa office hnathawk: vun rawng dum (medium-dark skin tone) a ni
👨🏿‍💼	mipa office hnathawk: vun dum
👩‍💼	hmeichhe office hnathawk
👩🏻‍💼	hmeichhe office hnathawk: vun rawng hring
👩🏼‍💼	hmeichhe office hnathawk: vun rawng (medium-light skin tone) a ni
👩🏽‍💼	hmeichhe office hnathawk: vun rawng (medium skin tone) a ni
👩🏾‍💼	hmeichhe office hnathawk: vun rawng dum (medium-dark skin tone) a ni
👩🏿‍💼	hmeichhe office hnathawk: vun dum
👨‍🔬	mipa scientist a ni
👨🏻‍🔬	mipa scientist: vun rawng hring
👨🏼‍🔬	mipa scientist: vun rawng (medium-light skin tone) a ni
👨🏽‍🔬	mipa scientist: vun rawng (medium skin tone) a ni
👨🏾‍🔬	mipa scientist: vun rawng dum (medium-dark skin tone) a ni
👨🏿‍🔬	mipa scientist: vun dum hring
👩‍🔬	hmeichhe scientist
👩🏻‍🔬	hmeichhe scientist: vun rawng hring
👩🏼‍🔬	hmeichhe scientist: vun rawng (medium-light skin tone) a ni
👩🏽‍🔬	hmeichhe scientist: vun rawng (medium skin tone) a ni
👩🏾‍🔬	hmeichhe scientist: vun rawng dum (medium-dark skin tone) a ni
👩🏿‍🔬	hmeichhe scientist: vun dum
👨‍💻	mipa technologist a ni
👨🏻‍💻	mipa technologist: vun rawng hring
👨🏼‍💻	mipa technologist: vun rawng hring (medium-light skin tone) a ni
👨🏽‍💻	mipa technologist: vun rawng (medium skin tone) a ni
👨🏾‍💻	mipa technologist: vun rawng dum (medium-dark skin tone) a ni
👨🏿‍💻	mipa technologist: vun dum hring
👩‍💻	hmeichhe technologist
👩🏻‍💻	hmeichhe technologist: vun rawng hring
👩🏼‍💻	hmeichhe technologist: vun rawng (medium-light skin tone) a ni
👩🏽‍💻	hmeichhe technologist: vun rawng (medium skin tone) a ni
👩🏾‍💻	hmeichhe technologist: vun rawng dum (medium-dark skin tone) a ni
👩🏿‍💻	hmeichhe technologist: vun rawng dum
👨‍🎤	mipa hla phuah thiam
👨🏻‍🎤	mipa hla phuahtu: vun rawng hring
👨🏼‍🎤	mipa hla phuahtu: vun rawng (medium-light skin tone).
👨🏽‍🎤	mipa hla phuahtu: vun rawng (medium skin tone).
👨🏾‍🎤	mipa hla phuahtu: vun rawng (medium-dark skin tone).
👨🏿‍🎤	mipa hla phuahtu: vun dum hring
👩‍🎤	hmeichhe zaithiam
👩🏻‍🎤	hmeichhe hla phuah thiam: vun rawng hring
👩🏼‍🎤	hmeichhe hla phuah thiam: vun rawng (medium-light skin tone).
👩🏽‍🎤	hmeichhe hla phuah thiam: vun rawng (medium skin tone).
👩🏾‍🎤	hmeichhe hla phuah thiam: vun rawng (medium-dark skin tone).
👩🏿‍🎤	hmeichhe hla phuahtu: vun dum
👨‍🎨	mipa artist
👨🏻‍🎨	mipa artist: vun rawng hring
👨🏼‍🎨	mipa artist: vun rawng (medium-light skin tone) a ni
👨🏽‍🎨	mipa artist: vun rawng (medium skin tone) a ni
👨🏾‍🎨	mipa artist: vun rawng (medium-dark skin tone) a ni
👨🏿‍🎨	mipa artist: vun dum hring
👩‍🎨	hmeichhe artist
👩🏻‍🎨	hmeichhe artist: vun rawng hring
👩🏼‍🎨	hmeichhe artist: vun rawng (medium-light skin tone) a ni
👩🏽‍🎨	hmeichhe artist: vun rawng (medium skin tone) a ni
👩🏾‍🎨	hmeichhe artist: vun rawng (medium-dark skin tone) a ni
👩🏿‍🎨	hmeichhe artist: vun dum hring
👨‍✈️	mipa pilot
👨‍✈	mipa pilot
👨🏻‍✈️	mipa pilot: vun rawng hring
👨🏻‍✈	mipa pilot: vun rawng hring
👨🏼‍✈️	mipa pilot: vun rawng (medium-light skin tone) a ni
👨🏼‍✈	mipa pilot: vun rawng (medium-light skin tone) a ni
👨🏽‍✈️	mipa pilot: vun rawng (medium skin tone) a ni
👨🏽‍✈	mipa pilot: vun rawng (medium skin tone) a ni
👨🏾‍✈️	mipa pilot: vun rawng dum (medium-dark skin tone) a ni
👨🏾‍✈	mipa pilot: vun rawng dum (medium-dark skin tone) a ni
👨🏿‍✈️	man pilot: vun rawng dum
👨🏿‍✈	man pilot: vun rawng dum
👩‍✈️	hmeichhe pilot
👩‍✈	hmeichhe pilot
👩🏻‍✈️	hmeichhe pilot: vun rawng hring
👩🏻‍✈	hmeichhe pilot: vun rawng hring
👩🏼‍✈️	hmeichhe pilot: vun rawng (medium-light skin tone) a ni
👩🏼‍✈	hmeichhe pilot: vun rawng (medium-light skin tone) a ni
👩🏽‍✈️	hmeichhe pilot: vun rawng (medium skin tone) a ni
👩🏽‍✈	hmeichhe pilot: vun rawng (medium skin tone) a ni
👩🏾‍✈️	hmeichhe pilot: vun rawng (medium-dark skin tone) a ni
👩🏾‍✈	hmeichhe pilot: vun rawng (medium-dark skin tone) a ni
👩🏿‍✈️	hmeichhe pilot: vun dum hring
👩🏿‍✈	hmeichhe pilot: vun dum hring
👨‍🚀	mipa astronaut a ni
👨🏻‍🚀	mipa astronaut: vun rawng hring
👨🏼‍🚀	mipa astronaut: vun rawng hring (medium-light skin tone) a ni
👨🏽‍🚀	mipa astronaut: vun rawng (medium skin tone) a ni
👨🏾‍🚀	mipa astronaut: vun rawng dum (medium-dark skin tone) a ni
👨🏿‍🚀	mipa astronaut: vun dum hring
👩‍🚀	hmeichhe astronaut
👩🏻‍🚀	hmeichhe astronaut: vun rawng hring
👩🏼‍🚀	hmeichhe astronaut: vun rawng (medium-light skin tone) a ni
👩🏽‍🚀	hmeichhe astronaut: vun rawng (medium skin tone) a ni
👩🏾‍🚀	hmeichhe astronaut: vun rawng dum (medium-dark skin tone) a ni
👩🏿‍🚀	hmeichhe astronaut: vun dum hring
👨‍🚒	mipa kangṭhelhtu
👨🏻‍🚒	man firefighter: vun rawng hring
👨🏼‍🚒	mipa kangmei ven hna thawktu: vun rawng (medium-light skin tone).
👨🏽‍🚒	mipa kangṭhelhtu: vun rawng (medium skin tone).
👨🏾‍🚒	man firefighter: vun rawng dum (medium-dark skin tone) a ni
👨🏿‍🚒	man firefighter: vun dum hring
👩‍🚒	hmeichhe kangṭhelhtu
👩🏻‍🚒	hmeichhe kangṭhelhtu: vun rawng hring
👩🏼‍🚒	hmeichhe kangmei ven hna thawk: vun rawng (medium-light skin tone).
👩🏽‍🚒	hmeichhe kangmei ven hna thawk: vun rawng (medium skin tone).
👩🏾‍🚒	hmeichhe kangmei ven hna thawk: vun rawng dum (medium-dark skin tone).
👩🏿‍🚒	hmeichhe kangṭhelhtu: vun dum
👮	police officer a ni
👮🏻	police officer: vun rawng hring
👮🏼	police officer: vun rawng hring (medium-light skin tone) a ni
👮🏽	police officer: vun rawng (medium skin tone) a ni
👮🏾	police officer: vun rawng dum (medium-dark skin tone) a ni
👮🏿	police officer: vun rawng dum
👮‍♂️	mipa police officer a ni
👮‍♂	mipa police officer a ni
👮🏻‍♂️	mipa police officer: vun rawng hring
👮🏻‍♂	mipa police officer: vun rawng hring
👮🏼‍♂️	mipa police officer: vun rawng hring (medium-light skin tone) a ni
👮🏼‍♂	mipa police officer: vun rawng hring (medium-light skin tone) a ni
👮🏽‍♂️	mipa police officer: vun rawng (medium skin tone) a ni
👮🏽‍♂	mipa police officer: vun rawng (medium skin tone) a ni
👮🏾‍♂️	mipa police officer: vun rawng dum (medium-dark skin tone) a ni
👮🏾‍♂	mipa police officer: vun rawng dum (medium-dark skin tone) a ni
👮🏿‍♂️	mipa police officer: vun dum hring
👮🏿‍♂	mipa police officer: vun dum hring
👮‍♀️	hmeichhe police officer a ni
👮‍♀	hmeichhe police officer a ni
👮🏻‍♀️	hmeichhe police officer: vun rawng hring
👮🏻‍♀	hmeichhe police officer: vun rawng hring
👮🏼‍♀️	hmeichhe police officer: vun rawng (medium-light skin tone) a ni
👮🏼‍♀	hmeichhe police officer: vun rawng (medium-light skin tone) a ni
👮🏽‍♀️	hmeichhe police officer: vun rawng (medium skin tone) a ni
👮🏽‍♀	hmeichhe police officer: vun rawng (medium skin tone) a ni
👮🏾‍♀️	hmeichhe police officer: vun rawng dum (medium-dark skin tone) a ni
👮🏾‍♀	hmeichhe police officer: vun rawng dum (medium-dark skin tone) a ni
👮🏿‍♀️	hmeichhe police officer: vun dum
👮🏿‍♀	hmeichhe police officer: vun dum
🕵️	detective a ni
🕵	detective a ni
🕵🏻	detective: vun rawng hring
🕵🏼	detective: vun rawng hring (medium-light skin tone) a ni
🕵🏽	detective: vun rawng (medium skin tone) a ni
🕵🏾	detective: vun rawng dum (medium-dark skin tone) a ni
🕵🏿	detective: vun dum hring hring
🕵️‍♂️	mipa detective a ni
🕵‍♂️	mipa detective a ni
🕵️‍♂	mipa detective a ni
🕵‍♂	mipa detective a ni
🕵🏻‍♂️	mipa detective: vun rawng hring
🕵🏻‍♂	mipa detective: vun rawng hring
🕵🏼‍♂️	mipa detective: vun rawng hring (medium-light skin tone) a ni
🕵🏼‍♂	mipa detective: vun rawng hring (medium-light skin tone) a ni
🕵🏽‍♂️	mipa detective: vun rawng (medium skin tone) a ni
🕵🏽‍♂	mipa detective: vun rawng (medium skin tone) a ni
🕵🏾‍♂️	mipa detective: vun rawng dum (medium-dark skin tone) a ni
🕵🏾‍♂	mipa detective: vun rawng dum (medium-dark skin tone) a ni
🕵🏿‍♂️	mipa detective: vun dum hring
🕵🏿‍♂	mipa detective: vun dum hring
🕵️‍♀️	hmeichhia detective a ni
🕵‍♀️	hmeichhia detective a ni
🕵️‍♀	hmeichhia detective a ni
🕵‍♀	hmeichhia detective a ni
🕵🏻‍♀️	hmeichhe detective: vun rawng hring
🕵🏻‍♀	hmeichhe detective: vun rawng hring
🕵🏼‍♀️	hmeichhe detective: vun rawng (medium-light skin tone) a ni
🕵🏼‍♀	hmeichhe detective: vun rawng (medium-light skin tone) a ni
🕵🏽‍♀️	hmeichhe detective: vun rawng (medium skin tone) a ni
🕵🏽‍♀	hmeichhe detective: vun rawng (medium skin tone) a ni
🕵🏾‍♀️	hmeichhe detective: vun rawng dum (medium-dark skin tone) a ni
🕵🏾‍♀	hmeichhe detective: vun rawng dum (medium-dark skin tone) a ni
🕵🏿‍♀️	hmeichhe detective: vun dum hring
🕵🏿‍♀	hmeichhe detective: vun dum hring
💂	veng
💂🏻	guard: vun rawng hring
💂🏼	guard: vun rawng (medium-light skin tone) a ni
💂🏽	guard: vun rawng (medium skin tone) a ni
💂🏾	guard: vun rawng (medium-dark skin tone) a ni
💂🏿	guard: vun rawng dum
💂‍♂️	mipa vengtu
💂‍♂	mipa vengtu
💂🏻‍♂️	man guard: vun rawng hring
💂🏻‍♂	man guard: vun rawng hring
💂🏼‍♂️	man guard: vun rawng hring (medium-light skin tone) a ni
💂🏼‍♂	man guard: vun rawng hring (medium-light skin tone) a ni
💂🏽‍♂️	man guard: vun rawng (medium skin tone) a ni
💂🏽‍♂	man guard: vun rawng (medium skin tone) a ni
💂🏾‍♂️	man guard: vun rawng dum (medium-dark skin tone) a ni
💂🏾‍♂	man guard: vun rawng dum (medium-dark skin tone) a ni
💂🏿‍♂️	man guard: vun rawng dum
💂🏿‍♂	man guard: vun rawng dum
💂‍♀️	hmeichhe vengtu
💂‍♀	hmeichhe vengtu
💂🏻‍♀️	hmeichhe vengtu: vun rawng hring
💂🏻‍♀	hmeichhe vengtu: vun rawng hring
💂🏼‍♀️	hmeichhe vengtu: vun rawng (medium-light skin tone).
💂🏼‍♀	hmeichhe vengtu: vun rawng (medium-light skin tone).
💂🏽‍♀️	hmeichhe vengtu: vun rawng (medium skin tone).
💂🏽‍♀	hmeichhe vengtu: vun rawng (medium skin tone).
💂🏾‍♀️	hmeichhe vengtu: vun rawng (medium-dark skin tone).
💂🏾‍♀	hmeichhe vengtu: vun rawng (medium-dark skin tone).
💂🏿‍♀️	hmeichhe vengtu: vun dum
💂🏿‍♀	hmeichhe vengtu: vun dum
👷	in sak hna thawktu a ni
👷🏻	in sak hnathawk: vun rawng hring
👷🏼	in sak hnathawk: vun rawng (medium-light skin tone) a ni
👷🏽	in sak hnathawk: vun rawng (medium skin tone) a ni
👷🏾	in sak hnathawk: vun rawng (medium-dark skin tone) a ni
👷🏿	construction worker: vun rawng dum
👷‍♂️	mipa in sak hna thawk
👷‍♂	mipa in sak hna thawk
👷🏻‍♂️	mipa in sak hnathawk: vun rawng hring
👷🏻‍♂	mipa in sak hnathawk: vun rawng hring
👷🏼‍♂️	mipa in sak hnathawk: vun rawng (medium-light skin tone) a ni
👷🏼‍♂	mipa in sak hnathawk: vun rawng (medium-light skin tone) a ni
👷🏽‍♂️	mipa in sak hnathawk: vun rawng (medium skin tone).
👷🏽‍♂	mipa in sak hnathawk: vun rawng (medium skin tone).
👷🏾‍♂️	mipa in sak hnathawk: vun rawng dum (medium-dark skin tone) a ni
👷🏾‍♂	mipa in sak hnathawk: vun rawng dum (medium-dark skin tone) a ni
👷🏿‍♂️	mipa in sak hnathawk: vun rawng dum
