Aachen	Aachenu
Antonio	Antonia
Antonio	Antoniem
Antonius	Antonia
Antonius	Antoniem
antonymum	antonyma
antverpský	antverpského
anulovat	anulovala
anulovat	anulován
anulovat	anulováno
aparát	aparátem
aparát	aparátu
aparát	aparáty
apatický	apatičtí
apelovat	apeloval
apelovat	apelovali
Apollon	Apollona
Apollonův	Apollonova
aprílový	aprílovej
Arab	Arabové
Arab	Arabům
arabský	arabskými
arbitráž	arbitráže
archa	arch
archeolog	archeologa
archeolog	archeology
archeologický	archeologického
architekt	architekta
architekt	architekti
architekt	architektů
architektonický	architektonického
architektonický	architektonickou
architektura	architektuře
architektura	architekturu
architektura	architektury
archív	archívech
archív	archívu
archív	archívy
archivní	archivních
arcibiskup	arcibiskupa
arcivévoda	arcivévody
areál	areálu
areál	areály
argejský	argejské
Argena	Argeně
Argena	Argenou
Argena	Argenu
Argentina	Argentině
Argentina	Argentiny
Argentinec	Argentinci
argentinský	argentinských
argument	argumentem
argument	argumentů
argument	argumentům
argument	argumenty
argumentace	argumentaci
argumentovat	argumentoval
argumentovat	argumentuje
argumentovat	argumentuji
Ariadna	Ariadnu
árie	áriemi
árie	árii
árie	árií
árie	áriích
arioso	arióza
arioso	ariózo
áriový	áriového
áriový	áriovou
áriový	áriových
arióza	ariózo
ariózní	ariózními
Aristea	Aristeou
Aristea	Aristeu
Aristea	Aristey
Aristein	Aristeiny
aristokracie	aristokracii
aristokrat	aristokrati
aritmetický	aritmetické
aritmetik	aritmetiky
aritmetika	aritmetiky
Arkansas	Arkansasu
armáda	armád
armáda	armádě
armáda	armádou
armáda	armády
armádní	armádních
armádní	armádního
armádní	armádními
Armando	Armanda
Armando	Armandovi
Armandův	Armandově
Armandův	Armandovi
Armén	Arménů
Arménie	Arménii
arménský	arménské
arménský	arménských
Armida	Armidě
Armida	Armidou
Armida	Armidu
Armida	Armidy
Armidin	Armidina
Armidin	Armidinu
Armidin	Armidiny
Armidin	Armidinými
Arnold	Arnolda
Arnold	Arnoldovi
Arnoldův	Arnoldovi
Arnošt	Arnošta
arogantní	arogantnější
arogantní	arogantními
aromaterapeutický	aromaterapeutických
Áron	Árona
Árón	Áróna
Árón	Árónovi
Aront	Aronta
Árónův	Árónovi
Artemida	Artemidou
Artemida	Artemidy
Artemidin	Artemidině
Artemidin	Artemidiným
Artemidor	Artemidora
Artemidor	Artemidorem
artikulovaný	artikulovaná
artistní	artistního
artistní	artistním
arzenál	arzenálů
arzenál	arzenály
Asad	Asadem
aseptický	aseptického
asiatský	asiatských
Asie	Asii
asignační	asignačním
asijsko-tichomořský	asijsko-tichomořské
asijský	asijská
asijský	asijské
asijský	asijského
asijský	asijském
asistent	asistenta
asistent	asistentem
asistent	asistentům
asistovat	asistuje
asociace	asociací
aspekt	aspektech
aspekt	aspektů
aspekt	aspektům
aspekt	aspekty
aspirant	aspirantů
Asterie	Asterii
Asterie	Asterií
Asteriin	Asteriina
astrolog	astrologové
astronaut	astronautů
astronomický	astronomické
astronomický	astronomickou
ateliér	ateliérem
ateliér	ateliéru
ateliér	ateliéry
atentát	atentátu
Atény	Aténách
Atény	Athény
Athéna	Athény
atlantský	atlantské
atlantský	atlantského
atlas	atlasu
atlet	atletem
atlet	atleti
atlet	atlety
atletický	atletická
atletický	atletické
atmosféra	atmosféře
atmosféra	atmosférou
atmosféra	atmosféru
atmosféra	atmosféry
atom	atomy
atomový	atomová
atomový	atomové
atomový	atomovou
atomový	atomových
atomový	atomovými
atonalita	atonalitě
atonalita	atonality
atrakce	atrakcí
atribut	atributem
atrium	atria
auberovský	auberovská
auberovský	auberovské
auberovský	auberovského
auberovský	auberovském
auberovský	auberovskému
auberovský	auberovskou
auberovský	auberovských
auberovský	auberovským
auberovský	auberovskými
Auberův	Auberova
Auberův	Auberově
Auberův	Auberovou
Auberův	Auberových
Augsburg	Augsburgu
Augustin	Augustina
Augusto	Augusta
Augustus	Augusta
aukce	aukcemi
aukce	aukcích
Aulida	Aulidě
Aulida	Aulidy
aureola	aureolou
Austrálie	Austrálii
Australoasie	Australoasii
australský	australské
australský	australského
australský	australských
australský	australským
aut	autech
aut	autem
autentický	autentické
autentický	autentičtější
auto	aut
auto	auta
auto	autě
auto	autech
auto	autem
autobiografie	autobiografii
autobus	autobusy
autobusový	autobusové
autodrom	autodromu
autojeřáb	autojeřábu
automat	automatu
automat	automatů
automatický	automatické
automatický	automatickou
automobil	automobilu
automobil	automobilů
automobil	automobily
automobilka	automobilek
automobilka	automobilku
automobilový	automobilové
automobilový	automobiloví
autonomie	autonomii
autonomní	autonomních
autor	autora
autor	autorem
autor	autoři
autor	autorů
autor	autorům
autorita	autoritami
autorita	autoritě
autorita	autoritou
autorita	autoritu
autorita	autority
autoritářský	autoritářské
autoritativní	nejautoritativnější
autorizovaný	autorizované
autorský	autorské
autorský	autorského
autorský	autorskou
autorův	autorova
autorův	autorově
autorův	autorovo
autorův	autorovy
avantgardismus	avantgardismu
avantgardní	avantgardních
averze	averzi
Avia	Avie
Avia	Avii
Ázerbájdžán	Ázerbájdžánu
ázerbájdžánský	ázerbájdžánská
ázerbájdžánský	ázerbájdžánského
ázerbájdžánský	ázerbájdžánští
azylový	azylové
azylový	azylovém
baba	baby
bába	bábě
bachovský	bachovské
bacit	bacil
bačovat	bačuje
Baden	Badenu
bafat	bafaje
bagatelizovat	bagatelizoval
Bagdád	Bagdádu
bagdadský	bagdadského
bahno	bahna
báj	bájí
Bajazet	Bajazeta
Bajazetův	Bajazetova
báje	bájí
bájit	bájí
bájný	bájná
bájný	bájné
bájný	bájného
bakchantka	bakchantky
Bakchus	Bakcha
bakterie	bakterií
balada	balad
balada	baladu
balada	balady
baladický	baladická
baladický	baladickými
baladik	baladikům
balast	balastu
Baláž	Baláže
balet	baletu
balet	baletů
balet	balety
balíček	balíčcích
balíček	balíčku
balíček	balíčků
balící	balících
balík	balících
balistický	balistických
balit	balicí
balit	balila
balkánský	balkánských
balkón	balkon
balkón	balkóně
balkón	balkónem
balkón	balkónu
Balladur	Balladura
balvan	balvany
Balvín	Balvína
báň	báně
báň	bání
banalita	banality
band	bandu
banda	band
banda	bandu
bandita	bandité
bandita	banditi
bandita	banditů
bandita	bandity
bánit	bání
banjalucký	banjaluckého
bank	bankách
bank	banku
bank	banky
banka	bance
banka	bank
banka	bankách
banka	bankám
banka	bankou
banka	banku
banka	banky
bankéř	bankéře
bankéř	bankéřem
bankéř	bankéři
bankéř	bankéřů
bankovka	bankovky
bankovní	bankovních
bankovní	bankovního
Bannwitzová	Bannwitzové
banskobystrický	banskobystrická
banský	banská
bar	barem
bar	baru
Baránek	Baránkem
barbar	barbara
barbar	barbary
Barbara	Barbary
barbarský	barbarská
barbarský	barbarských
bard	barda
barevný	barevná
barevný	barevné
barevný	barevnými
bariéra	bariér
bariéra	bariéru
bariéra	bariéry
barikáda	barikádách
bárka	bárce
barkarola	barkaroly
barman	barmanem
barokní	barokních
barokní	barokního
barokní	barokním
baron	barona
baron	baronem
baron	baronovi
baronka	baronkou
baronův	baronova
baronův	baronovi
Bartoloměj	Bartoloměje
Bartolův	Bartolova
Bartolův	Bartolovi
Bartolův	Bartolovo
Bartolův	Bartolovu
Bartolův	Bartolovými
Bartošová	Bartošovou
Bartošův	Bartošovou
Baruška	Barušky
barva	barev
barva	barvou
barva	barvu
barva	barvy
barvitost	barvitosti
barvitost	barvitostí
barvitý	barvitá
barvitý	barvité
bas	basu
basa	bas
basa	basu
báseň	básně
báseň	básni
báseň	básní
báseň	básních
básnička	básniček
básnický	básnická
básnický	básnické
básnický	básnického
básnický	básnickou
básnický	básnických
básnický	básnickým
básnický	básnickými
básník	básníci
básník	básníka
básník	básníkem
básník	básníkovi
básník	básníky
básníkův	básníkovi
básníkův	básníkovo
básnit	básně
básnit	básni
básnit	básní
Bass	Bassi
bát	bál
bát	bála
bát	báli
bát	boj
bát	boje
bát	bojí
bát	bojím
bát	bojíš
bát	nebál
bát	neboj
bát	nebojí
Battěk	Battěkovi
Battěkův	Battěkovi
bavit	bavilo
bavit	bavily
bavit	nebavili
bavorský	bavorská
bavorský	bavorské
bavorský	bavorském
Bayreuth	Bayreuthu
bazar	bazarech
báze	bázi
bázeň	bázně
bažící	bažících
bažinatý	bažinatým
bažit	bažili
bažit	nebaží
bdělý	bdělém
bděný	bdění
bdící	bdících
bdít	bděl
bdít	bdí
bečený	bečení
Beckenbauer	Beckenbauerem
Becker	Beckera
Beckett	Becketta
Beckettův	Beckettovu
bedlivý	bedlivým
bedna	bedně
bedna	bednu
bedna	bedny
bednit	bedně
bědovat	bědovali
bědovat	běduje
Bedřich	Bedřichem
Bedřichov	Bedřichově
Bedřichův	Bedřichově
bedro	beder
bedro	bedra
bedro	bedrech
bedýnka	bedýnky
Beethoven	Beethovena
Beethoven	Beethovenovi
beethovenovský	beethovenovská
beethovenovský	beethovenovské
beethovenovský	beethovenovského
beethovenovský	beethovenovském
beethovenovský	beethovenovskému
beethovenovský	beethovenovskou
beethovenovský	beethovenovských
beethovenovský	beethovenovským
beethovenovský	beethovenovskými
Beethovenův	Beethovenova
Beethovenův	Beethovenově
Beethovenův	Beethovenovi
Beethovenův	Beethovenovou
Beethovenův	Beethovenovy
Beethovenův	Beethovenových
Beethovenův	Beethovenovým
běh	během
běh	běhu
běh	běhů
běh	běhům
běhat	běhá
běhavý	běhavého
běhoun	běhounu
Behringův	Behringovu
bělavý	bělavého
Bělehrad	Bělehradě
Bělehrad	Bělehradu
belgický	belgického
Belgie	Belgii
běloch	bělochů
běloch	bělochům
běloch	běloši
Bělohlávek	Bělohlávkem
Bělorus	Bělorusové
Bělorusko	Běloruska
bělorusko-americký	bělorusko-americká
běloruský	běloruské
běloruský	běloruského
běloruský	běloruském
bělošský	bělošské
bělostný	bělostnou
Běloves	Bělovsi
Ben	Bena
Benátky	Benátek
Benátky	Benátkách
benátský	benátskou
Benda	Bendovi
Benda	Bendy
Bendův	Bendovi
Beneš	Beneše
Beneš	Benešem
Benigno	Benignu
Bentsen	Bentsena
Bentsen	Bentsenem
benzín	benzínem
beránčí	beránčího
bércový	bércovém
Berg	Berga
Berg	Bergem
Berg	Bergové
Berger	Bergera
Bergův	Bergova
Bergův	Bergovo
Bergův	Bergovy
Berkhamstead	Berkhamsteadu
berle	berlemi
Berlín	Berlína
Berlín	Berlíně
berlínský	berlínské
Berlioz	Berlioze
Berlioz	Berliozem
Berlioz	Berliozovi
Berliozův	Berliozova
Berliozův	Berliozovi
Berliozův	Berliozovu
Berliozův	Berliozovy
Bern	Bernu
Bernard	Bernarda
Bernard	Bernardovi
Bernarda	Bernard
Bernardův	Bernardovi
Bernhard	Bernharda
berný	berní
Beroun	Berouně
běs	běsem
běs	běsy
beseda	besedě
beseda	besedu
beseda	besedy
besídkový	besídková
Beskidsko	Beskidska
bestialita	bestiality
beton	betonu
bez	beze
bez	bezu
bezbariérový	bezbariérového
bezbarvý	bezbarvé
bezbolestný	bezbolestným
bezbradý	bezbradého
bezbradý	bezbradému
bezbranný	bezbranné
bezbřehý	bezbřehé
bezcenný	bezcenným
bezděčný	bezděčná
bezděčný	bezděčným
bezdomovec	bezdomovce
bezdomovec	bezdomovci
bezduchý	bezduchého
běžecký	běžecké
bezedný	bezedné
běžet	běž
běžet	běžel
běžet	běží
běžet	neběžel
běžící	běžícím
bezjaderný	bezjaderná
bezjaderný	bezjaderného
bezkoncepčnost	bezkoncepčnosti
běžky	běžkách
bezlistý	bezlistými
bezmoc	bezmoci
bezmocnost	bezmocnosti
bezmocný	bezmocná
bezmocný	bezmocné
bezmocný	bezmocném
bezmocný	bezmocní
bezmocný	bezmocnou
bezmračný	bezmračnou
beznaděj	beznaděje
beznaděj	beznadějí
beznadějný	beznadějné
beznadějný	beznadějném
běžnost	běžností
běžný	běžná
běžný	běžné
běžný	běžného
běžný	běžném
běžný	běžnou
běžný	běžných
běžný	běžným
běžný	běžnými
běžný	nejběžnějšího
bezohledně	bezohledněji
bezohlednost	bezohlednosti
bezohlednost	bezohledností
bezohledný	bezohledné
bezohledný	bezohlednou
bezpečně	nebezpečně
bezpečnost	bezpečnosti
bezpečnostní	bezpečnostních
bezpečnostní	bezpečnostního
bezpečný	bezpečné
bezpečný	bezpečného
bezpečný	bezpečnější
bezpečný	bezpečnou
bezpečný	bezpečných
bezpečný	nebezpečná
bezpečný	nebezpečné
bezpečný	nebezpečného
bezpečný	nebezpečnější
bezpečný	nebezpečnému
bezpečný	nebezpeční
bezpečný	nebezpečný
bezpečný	nebezpečných
bezpečný	nebezpečnými
bezpečný	nejbezpečnějším
bezpečný	nejnebezpečnější
bezplatný	bezplatná
bezplatný	bezplatné
bezplatný	bezplatnou
bezpočet	bezpočtu
bezpohlavnost	bezpohlavnosti
bezpohlavný	bezpohlavní
bezprecedentní	bezprecedentních
bezprostřední	bezprostředních
bezprostřední	bezprostředního
bezprostřední	bezprostředním
bezprostřední	nejbezprostřednějším
bezprostřednost	bezprostřednosti
bezprostřednost	bezprostředností
bezradnost	bezradnosti
bezstarostný	bezstarostní
beztrestný	beztrestná
beztvarý	beztvarou
beztvarý	beztvarým
bezúhonnost	bezúhonnosti
bezuzdný	bezuzdné
bezvadný	bezvadnou
bezvědomý	bezvědomí
bezvýchodný	bezvýchodné
bezvýhradný	bezvýhradné
bezvýrazný	bezvýrazná
bezvýrazný	bezvýraznou
bezvýrazný	bezvýrazných
bezvýrazný	bezvýrazným
bezvýsledný	bezvýsledné
bezvýznamný	bezvýznamná
bezvýznamný	bezvýznamné
bezvýznamný	bezvýznamných
bezvýznamný	bezvýznamným
bezzubý	bezzubé
bible	bibli
biblický	biblické
biblický	biblickou
bibliograf	bibliografové
bicí	bicími
bičovat	bičovali
bičovat	bičováni
bicyklový	bicyklová
bicyklový	bicyklové
bicyklový	bicyklového
bicyklový	bicyklovém
bicyklový	bicyklovému
bicyklový	bicyklovou
bicyklový	bicyklových
bicyklový	bicyklovým
bicyklový	bicyklovými
bída	bídě
bída	bídou
bída	bídu
bída	bídy
bídácký	bídácké
bídný	bídné
bídný	bídného
bigotní	nejbigotnější
bilance	bilanci
bilancovat	bilancuje
bilaterální	bilaterálních
biliár	biliáru
bilión	bilióny
bílit	bíle
Bill	Billa
Billův	Billově
bílý	bílá
bílý	bílé
bílý	bílého
bílý	bílém
bílý	bílou
bílý	bílých
bílý	bílým
biolog	biologové
biologický	biologická
biologický	biologického
biologický	biologickou
biskup	biskupa
biskup	biskupech
biskupský	biskupské
bít	bije
bít	bijí
bít	bijou
bít	bila
bít	bili
bít	nebije
bitka	bitce
bitka	bitku
bitka	bitky
bitonalita	bitonalitě
Bittner	Bittnera
Bittner	Bittnerem
bitva	bitvě
bitva	bitvou
bitva	bitvu
bitva	bitvy
bitý	bití
Bizet	Bizetovi
Bizetův	Bizetova
Bizetův	Bizetově
Bizetův	Bizetovi
Bizetův	Bizetovo
Bizetův	Bizetovy
Bizetův	Bizetových
blahobyt	blahobytem
blahobyt	blahobytu
bláhový	bláhové
bláhový	bláhovou
bláhový	bláhovým
blahý	neblahých
blanenský	blanenským
bláto	blátem
blázen	blázna
blázen	blázni
blázen	bláznů
Blažena	Blaženu
Blažena	Blaženy
Blaženin	Blaženina
Blaženin	Blaženiným
blaženost	blaženosti
blažený	blaženého
blažený	blaženém
blažený	blažení
blažený	blažených
blažit	blažena
blažit	blaženu
blažit	blaženy
bláznit	blázni
bláznivý	bláznivou
bláznivý	bláznivými
bláznovství	bláznovstvím
blbina	blbiny
blbnout	neblbněte
blbost	blbosti
bleděmodrý	bleděmodrýma
bledý	bledá
bledý	bledé
bledý	bledí
bledý	bledou
bledý	bledší
blesk	bleskem
blesk	blesků
blesknout	bleskl
bleskový	bleskovou
Blight	Blightem
blikat	blikal
blíženec	blíženců
blížící	blížícího
blížící	blížícími
blížit	blíže
blížit	blíží
blížit	blížil
blížit	blížila
blízko	blíž
blízko	blíže
blízko	nejblíže
blízkost	blízkosti
blízkovýchodní	blízkovýchodních
blízkovýchodní	blízkovýchodního
blízký	blízcí
blízký	blízké
blízký	blízkého
blízký	blízkém
blízký	blízko
blízký	blízkou
blízký	blízkých
blízký	blízkými
blízký	bližší
blízký	bližšího
blízký	bližšímu
blízký	nejbližší
blízký	nejbližších
blízký	nejbližšího
blízký	nejbližším
blízký	nejbližšími
Blodkův	Blodkově
blok	bloku
Blonda	Blondu
Blonda	Blondy
Blondin	Blondina
bloud	blouda
blouděný	bloudění
bloudit	bloudí
bloudit	bloudil
bloudit	bloudily
bloudit	nebloudilo
blouzněný	blouznění
bludiště	bludišti
bludiště	bludištích
bludný	bludného
bludný	bludném
blýskavý	blýskavými
blýsknout	blýskne
bobtnat	bobtná
boční	bočním
boční	bočními
bočný	boční
bod	bodě
bod	bodech
bod	bodem
bod	bodu
bod	bodů
bod	body
bodnořezný	bodnořezných
bodnout	bodl
bodnout	bodne
bodný	bodné
bodovník	bodovníkům
bodový	bodové
bodový	bodovou
bodrý	bodrým
boháč	boháče
boháč	boháčích
bohatě	bohatěji
bohatec	bohatců
bohatit	bohatě
bohatit	bohatí
bohatost	bohatosti
bohatost	bohatostí
bohatství	bohatstvím
bohatý	bohatá
bohatý	bohaté
bohatý	bohatého
bohatý	bohatém
bohatý	bohatému
bohatý	bohatí
bohatý	bohatou
bohatý	bohatší
bohatý	bohatším
bohatý	bohatých
bohatý	bohatým
bohatý	bohatými
bohatý	nejbohatšího
bohém	bohémy
bohéma	bohémy
bohémský	bohémská
Böhmův	Böhmovou
bohoslužba	bohoslužbách
bohoslužba	bohoslužbami
bohoslužba	bohoslužby
Bohumil	Bohumila
Bohuslav	Bohuslava
Bohuslava	Bohuslav
Bohutín	Bohutína
bohyně	bohyni
bohyně	bohyní
boj	boje
boj	bojem
boj	boji
boj	bojích
boj	bojů
bojácný	nebojácného
bojar	bojara
bojiště	bojišti
bojkot	bojkotu
bojkotovat	nebojkotuje
bojovat	bojoval
bojovat	bojovali
bojovat	bojovalo
bojovat	bojovaly
bojovat	bojuje
bojovat	bojujeme
bojovat	bojuješ
bojovat	bojují
bojovat	nebojuje
bojovat	nebojují
bojovník	bojovníci
bojovník	bojovníka
bojovník	bojovníkem
bojovník	bojovníky
bojovný	bojovné
bojový	bojové
bojový	bojovou
bojový	bojových
bojový	bojovými
bok	bocích
bok	bokem
bok	boku
bok	boků
bok	boky
Boldin	Boldina
Boleslav	Boleslavi
Boleslava	Boleslav
bolest	bolestech
bolest	bolesti
bolest	bolestí
bolestivý	bolestivé
bolestné	bolestného
bolestný	bolestného
bolestný	bolestnou
bolet	bolelo
bolet	bolí
Bolívie	Bolívii
Bologna	Bologni
boloňský	boloňského
bolševický	bolševické
bolševický	bolševických
bolševik	bolševici
bomba	bomb
bomba	bombu
bomba	bomby
bombardovaný	bombardované
bombardovat	bombardovala
bombardovat	bombardovalo
bombastický	bombastické
bonbón	bonbónů
Bonn	Bonnu
bonnský	bonnské
borec	borci
borec	borců
Boris	Borise
Boris	Borisem
Boris	Borisi
bortící	bortícími
bortit	bortilo
borůvka	borůvky
bosenský	bosenských
bosenský	bosenskými
bosenský	bosenští
Boskovice	Boskovicích
Bosna	Bosně
Bosna	Bosny
Bosňan	Bosňany
Boston	Bostonu
bosý	bosá
bosý	bosé
bosý	bosých
bota	bot
bota	botách
bota	botu
bota	boty
bouchnout	bouchly
bouda	boudu
bouda	boudy
boudař	boudaři
Boulez	Bouleze
boura	bouře
Bourbon	Bourbonové
Bourboun	Bourbounů
bouře	bouři
bouře	bouří
bouřit	bouře
bouřit	bouři
bouřit	bouří
bouřit	bouřil
bouřit	bouřila
bouřit	bouřily
bouřit	nebouří
bouřlivák	bouřlivákem
bouřlivý	bouřlivého
bouřlivý	bouřlivém
boxer	boxera
boxerský	boxerské
boží	božího
boží	božím
božský	božské
božský	božským
božstvo	božstva
brabantský	brabantská
brabantský	brabantské
brabantský	brabantského
brabantský	brabantském
brabantský	brabantskému
brabantský	brabantskou
brabantský	brabantských
brabantský	brabantským
brabantský	brabantskými
brach	brachu
brada	bradě
brada	bradou
brada	bradu
brada	brady
bradka	bradkou
Braham	Brahamem
brahmsovský	brahmsovská
brahmsovský	brahmsovské
brahmsovský	brahmsovského
brahmsovský	brahmsovském
brahmsovský	brahmsovskému
brahmsovský	brahmsovskou
brahmsovský	brahmsovských
brahmsovský	brahmsovským
brahmsovský	brahmsovskými
brak	braku
brakový	brakovou
brána	branami
brána	bráně
brána	branou
brána	bránu
brána	brány
Branberg	Branbergem
branec	brance
branibor	braniborech
branibor	branibory
bránický	bránickém
bránit	bráně
bránit	brání
bránit	bránil
bránit	bránila
bránit	nebrání
bránit	nebránit
bránit	nebraňme
branka	brance
branka	branek
branka	branko
branka	brankou
branka	branku
branka	branky
brankář	brankáře
brankář	brankáři
brankový	brankovou
branný	brannému
branný	branných
braný	branou
brašna	brašnu
brát	bere
brát	bereme
brát	berou
